fold	Antibiotic	genes_resist	test_edges	dev_edges	edges_in_train	confer_edges_in_train
fold_0	Aminoglycosides	91	20	8	63	63
fold_0	Gentamicin	48	8	2	38	38
fold_0	Streptomycin	270	18	10	68	68
fold_0	Phenicols	20	4	0	16	16
fold_0	Multiple#SPACE#Antibiotics	34	9	3	22	22
fold_0	Ciprofloxacin	57	9	6	42	42
fold_0	Fosfomycin	7	2	0	5	5
fold_0	Nalidixic#SPACE#Acid	12	5	0	7	7
fold_0	Colistin	11	5	1	5	5
fold_0	Macrolides	6	1	1	4	4
fold_0	Acriflavine	1	0	0	1	1
fold_0	Doxorubicin	1	0	0	1	1
fold_0	Norfloxacin	1	1	0	0	0
fold_0	Tetracycline	13	4	0	9	9
fold_0	Beta-Lactam	19	2	2	15	15
fold_0	Other#SPACE#Classes	13	3	0	10	10
fold_0	Quinolones	26	5	2	19	19
fold_0	Kanamycin	9	1	0	8	8
fold_0	Amoxicillin	13	3	2	8	8
fold_0	Spectinomycin	2	0	1	1	1
fold_0	HygromycinB	1	0	1	0	0
fold_0	Rifampicin	2	1	0	1	1
fold_0	Florfenicol	3	0	1	2	2
fold_0	Bacitracin	1	1	0	0	0
fold_0	Ampicillin	1	0	0	1	1
fold_0	Cafepime	1	0	0	1	1
fold_0	Carbapenem	1	1	0	0	0
fold_0	Cefotaxime	1	0	0	1	1
fold_0	Cefoxitin	1	0	0	1	1
fold_0	Ceftazidime	1	0	0	1	1
fold_0	Ceftriaxone	1	1	0	0	0
fold_0	Cephalolecithin	1	1	0	0	0
fold_0	Cephalosporin	1	0	0	1	1
fold_0	Cephalothin	1	0	0	1	1
fold_0	Cephalothine	1	1	0	0	0
fold_0	Cephamycins	1	0	1	0	0
fold_0	Chloramphenicol	13	3	1	9	9
fold_0	Clavulanic#SPACE#Acid	1	0	0	1	1
fold_0	Cloxacillin	1	0	0	1	1
fold_0	Cotrimoxazole	1	0	0	1	1
fold_0	Moxalactam	1	1	0	0	0
fold_0	Oxacillin	1	0	0	1	1
fold_0	Penicillin	1	0	0	1	1
fold_0	Sulfamethoxazole	5	2	0	3	3
fold_0	Trimethoprim	29	2	1	26	26
fold_0	Cephalosporins	2	1	0	1	1
fold_0	Sulfonamide	4	1	0	3	3
fold_0	Erythromycin	8	0	2	6	6
fold_0	Streptogramines	1	0	0	1	1
fold_0	lincosamide	4	0	1	3	3
fold_0	Triclosan	1	0	0	1	1
fold_0	Ofloxacin	4	0	1	3	3
fold_0	Class#SPACE#I#SPACE#Integron	1	1	0	0	0
fold_0	Isoniazid	1	0	0	1	1
fold_0	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	0	0	1	1
fold_0	Kasugamycin	1	0	0	1	1
fold_0	Sulfanilamide	4	1	0	3	3
fold_0	Sulfisoxazole	3	1	0	2	2
fold_0	Vancomycin	6	0	1	5	5
fold_0	Fosmidomycin	1	0	0	1	1
fold_1	Aminoglycosides	91	15	5	71	71
fold_1	Gentamicin	48	8	3	37	37
fold_1	Streptomycin	270	19	13	64	64
fold_1	Phenicols	20	2	3	15	15
fold_1	Multiple#SPACE#Antibiotics	34	5	1	28	28
fold_1	Ciprofloxacin	57	10	7	40	40
fold_1	Fosfomycin	7	1	0	6	6
fold_1	Nalidixic#SPACE#Acid	12	2	0	10	10
fold_1	Colistin	11	1	0	10	10
fold_1	Macrolides	6	2	0	4	4
fold_1	Acriflavine	1	0	0	1	1
fold_1	Doxorubicin	1	0	0	1	1
fold_1	Norfloxacin	1	0	0	1	1
fold_1	Tetracycline	13	4	0	9	9
fold_1	Beta-Lactam	19	5	1	13	13
fold_1	Other#SPACE#Classes	13	2	1	10	10
fold_1	Quinolones	26	6	0	20	20
fold_1	Kanamycin	9	6	0	3	3
fold_1	Amoxicillin	13	4	1	8	8
fold_1	Spectinomycin	2	1	0	1	1
fold_1	HygromycinB	1	0	1	0	0
fold_1	Rifampicin	2	1	0	1	1
fold_1	Florfenicol	3	3	0	0	0
fold_1	Bacitracin	1	0	0	1	1
fold_1	Ampicillin	1	0	0	1	1
fold_1	Cafepime	1	0	0	1	1
fold_1	Carbapenem	1	0	0	1	1
fold_1	Cefotaxime	1	0	0	1	1
fold_1	Cefoxitin	1	0	1	0	0
fold_1	Ceftazidime	1	1	0	0	0
fold_1	Ceftriaxone	1	0	0	1	1
fold_1	Cephalolecithin	1	0	0	1	1
fold_1	Cephalosporin	1	0	0	1	1
fold_1	Cephalothin	1	0	0	1	1
fold_1	Cephalothine	1	0	0	1	1
fold_1	Cephamycins	1	1	0	0	0
fold_1	Chloramphenicol	13	3	0	10	10
fold_1	Clavulanic#SPACE#Acid	1	1	0	0	0
fold_1	Cloxacillin	1	0	0	1	1
fold_1	Cotrimoxazole	1	1	0	0	0
fold_1	Moxalactam	1	0	0	1	1
fold_1	Oxacillin	1	0	0	1	1
fold_1	Penicillin	1	0	0	1	1
fold_1	Sulfamethoxazole	5	0	1	4	4
fold_1	Trimethoprim	29	9	3	17	17
fold_1	Cephalosporins	2	0	0	2	2
fold_1	Sulfonamide	4	1	0	3	3
fold_1	Erythromycin	8	1	2	5	5
fold_1	Streptogramines	1	0	0	1	1
fold_1	lincosamide	4	0	0	4	4
fold_1	Triclosan	1	0	0	1	1
fold_1	Ofloxacin	4	1	1	2	2
fold_1	Class#SPACE#I#SPACE#Integron	1	0	0	1	1
fold_1	Isoniazid	1	0	0	1	1
fold_1	Quatarnary#SPACE#Ammonium#SPACE#compounds	1	0	0	1	1
fold_1	Kasugamycin	1	1	0	0	0
fold_1	Sulfanilamide	4	0	0	4	4
fold_1	Sulfisoxazole	3	0	2	1	1
fold_1	Vancomycin	6	1	2	3	3
fold_1	Fosmidomycin	1	1	0	0	0
fold_2	Aminoglycosides	91	16	9	66	66
fold_2	Gentamicin	48	10	7	31	31
fold_2	Streptomycin	270	21	5	70	70
fold_2	Phenicols	20	7	3	10	10
fold_2	Multiple#SPACE#Antibiotics	34	7	3	24	24
fold_2	Ciprofloxacin	57	9	2	46	46
fold_2	Fosfomycin	7	1	0	6	6
fold_2	Nalidixic#SPACE#Acid	12	1	1	10	10
fold_2	Colistin	11	4	1	6	6
fold_2	Macrolides	6	2	1	3	3
fold_2	Acriflavine	1	0	1	0	0
fold_2	Doxorubicin	1	1	0	0	0
fold_2	Norfloxacin	1	0	0	1	1
