Subject	Predicate	Object
melB	has	transporter activity
melB	is part of	integral component of plasma membrane
melB	is part of	biological entity
melB	is part of	anatomical entity
melB	is part of	membrane
melB	is part of	integral component of membrane
melB	is part of	cellular anatomical entity
melB	is part of	intrinsic component of plasma membrane
melB	is part of	plasma membrane
melB	is part of	intrinsic component of membrane
melB	is part of	cell periphery
melB	is involved in	localization
melB	is involved in	establishment of localization
melB	is involved in	transport
melB	is involved in	organic substance transport
ispE	has	metabolic process
ispE	has	phosphorus metabolic process
ispE	has	cellular metabolic process
ispE	has	cellular process
ispE	has	phosphate-containing compound metabolic process
ispE	has	catalytic activity
ispE	has	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
ispE	has	transferase activity, transferring phosphorus-containing groups
ispE	has	phosphorylation
ispE	has	transferase activity
ispE	has	phosphotransferase activity, alcohol group as acceptor
ispE	has	kinase activity
livM	has	nitrogen compound transport
livM	has	transmembrane transport
livM	has	transmembrane transporter activity
livM	has	carboxylic acid transmembrane transport
livM	has	amino acid transmembrane transporter activity
livM	has	organic acid transmembrane transporter activity
livM	has	organic acid transmembrane transport
livM	has	transport
livM	has	amino acid transport
livM	has	carboxylic acid transmembrane transporter activity
livM	has	cellular process
livM	has	amino acid transmembrane transport
livM	has	transporter activity
livM	has	localization
livM	has	establishment of localization
livM	has	organic acid transport
livM	has	branched-chain amino acid transport
livM	has	branched-chain amino acid transmembrane transporter activity
livM	has	organic substance transport
livM	is part of	biological entity
livM	is part of	anatomical entity
livM	is part of	membrane
livM	is part of	cellular anatomical entity
livM	is part of	plasma membrane
livM	is part of	cell periphery
livM	is involved in	nitrogen compound transport
livM	is involved in	localization
livM	is involved in	establishment of localization
livM	is involved in	organic acid transport
livM	is involved in	branched-chain amino acid transport
livM	is involved in	amino acid transport
livM	is involved in	transport
livM	is involved in	organic substance transport
nadC	is involved in	organophosphate metabolic process
nadC	is involved in	organic cyclic compound metabolic process
nadC	is involved in	organic cyclic compound biosynthetic process
nadC	is involved in	NAD biosynthetic process
nadC	is involved in	organonitrogen compound metabolic process
nadC	is involved in	biosynthetic process
nadC	is involved in	organonitrogen compound biosynthetic process
nadC	is involved in	primary metabolic process
nadC	is involved in	cellular metabolic process
nadC	is involved in	nucleotide metabolic process
nadC	is involved in	small molecule metabolic process
nadC	is involved in	heterocycle metabolic process
nadC	is involved in	heterocycle biosynthetic process
nadC	is involved in	pyridine nucleotide metabolic process
nadC	is involved in	pyridine nucleotide biosynthetic process
nadC	is involved in	pyridine-containing compound biosynthetic process
nadC	is involved in	pyridine-containing compound metabolic process
nadC	is involved in	cellular nitrogen compound metabolic process
nadC	is involved in	nucleoside phosphate biosynthetic process
nadC	is involved in	nucleobase-containing small molecule metabolic process
nadC	is involved in	nucleotide biosynthetic process
nadC	is involved in	metabolic process
nadC	is involved in	organic substance biosynthetic process
nadC	is involved in	phosphorus metabolic process
nadC	is involved in	cellular biosynthetic process
nadC	is involved in	nucleobase-containing compound metabolic process
nadC	is involved in	cellular process
nadC	is involved in	phosphate-containing compound metabolic process
nadC	is involved in	nucleoside phosphate metabolic process
nadC	is involved in	cellular aromatic compound metabolic process
nadC	is involved in	cellular nitrogen compound biosynthetic process
nadC	is involved in	nitrogen compound metabolic process
nadC	is involved in	nicotinamide nucleotide metabolic process
nadC	is involved in	nucleobase-containing compound biosynthetic process
nadC	is involved in	nicotinamide nucleotide biosynthetic process
nadC	is involved in	organophosphate biosynthetic process
nadC	is involved in	organic substance metabolic process
nadC	is involved in	aromatic compound biosynthetic process
nadC	is involved in	dicarboxylic acid metabolic process
nadC	is involved in	organic acid metabolic process
nadC	is involved in	organic cyclic compound catabolic process
nadC	is involved in	dicarboxylic acid catabolic process
nadC	is involved in	catabolic process
nadC	is involved in	organonitrogen compound catabolic process
nadC	is involved in	quinolinate metabolic process
nadC	is involved in	small molecule catabolic process
nadC	is involved in	organic acid catabolic process
nadC	is involved in	pyridine-containing compound catabolic process
