"old_names","new_names"
"melB","melB"
"ispE","ispE"
"livM","livM"
"nadC","nadC"
"yaaH","satP"
"fepD","fepD"
"rnk","rnk"
"cspE","cspE"
"ybeF","ybeF"
"mrdB","mrdB"
"ybeB","ybeB"
"holA","holA"
"STM0649","STM0649"
"gltJ","gltJ"
"phoL","ybeZ"
"nagD","umpH"
"chiP","chiP"
"fur","fur"
"dtpD","dtpD"
"STM0033","STM0033"
"nhaR","nhaR"
"ribF","ribF"
"slpA","fkpB"
"tolQ","tolQ"
"tolR","tolR"
"pal","pal"
"modB","modB"
"moaB","moaB"
"tbpA","tbpA"
"ybhS","ybhS"
"ftsI","ftsI"
"ftsW","ftsW"
"glnP","glnP"
"ftsA","ftsA"
"ppdD","ppdD"
"ybiS","ldtB"
"ybiV(1)","ybiV(1)"
"iaaA","iaaA"
"gsiD","gsiD"
"artQ","artQ"
"cspD","cspD"
"STM0952","STM0952"
"yadS","yadS"
"ycaJ","rarA"
"cdsA","cdsA"
"proS","proS"
"pflB","pflB"
"focA","focA"
"rpsA","rpsA"
"ycaR","ycaR"
"yccF","yccF"
"yccX","yccX"
"tusE","tusE"
"hpaH","hpaH"
"phoB","phoB"
"STM0402","STM0402"
"acpH","acpH"
"phoH","phoH"
"ycdX","ycdX"
"pabC","pabC"
"cyoD","cyoD"
"cyoB","cyoB"
"cyoA","cyoA"
"bolA","bolA"
"ybaV","ybaV"
"ybaW","fadM"
"queC","queC"
"ybaO","decR"
"glnK","glnK"
"amtB","amtB"
"leuE","leuE"
"mipA","mipA"
"acrR","acrR"
"ybaN","ybaN"
"ybbJ","ybbJ"
"sfbC","sfbC"
"allB","allB"
"rfbI","rfbI"
"fepG","fepG"
"STM1324","STM1324"
"lpp1","lpp1"
"ttrR","ttrR"
"tyrS","tyrS"
"STM1481","STM1481"
"mdtJ","mdtJ"
"mdtI","mdtI"
"adhP","adhP"
"ydcZ","ydcZ"
"STM1653","STM1653"
"yciM","lapB"
"pgpB","pgpB"
"yciK","yciK"
"ychE","ychE"
"tdk","tdk"
"hnr","rssB"
"ychN","ychN"
"ychF","ychF"
"STM1789","STM1789"
"ycgM","ycgM"
"slp","slp"
"yoaA","yoaA"
"manY","manY"
"exoX","exoX"
"ftnB","ftnB"
"pgsA","pgsA"
"yecS","yecS"
"yeeY","yeeY"
"tyrA","tyrA"
"yfjD","yfjD"
"grpE","grpE"
"bamE","bamE"
"yfjG","ratA"
"emrR","mprA"
"yqaB","yqaB"
"mltB","mltB"
"hypC","hypC"
"yegQ","trhP"
"yegT","yegT"
"yegW","yegW"
"stcA","stcA"
"yohD","yohD"
"ptpS","ptpS"
"STM2177","STM2177"
"STM2180","STM2180"
"gcvA","gcvA"
"fruK","fruK"
"ygdQ","ygdQ"
"rplY","rplY"
"zapA","zapA"
"yggE","yggE"
"epd","epd"
"yggG","loiP"
"napB","napB"
"napD","napD"
"yfaV","yfaV"
"ansB","ansB"
"menB","menB"
"STM3128","STM3128"
"nuoK","nuoK"
"gsp","gss"
"nuoB","nuoB"
"nuoA","nuoA"
"hypO","hypO"
"exbD","exbD"
