Subject	Predicate	Object
aac-IVa	confers resistance to antibiotic 	Gentamicin
aac-Iva	confers resistance to antibiotic 	Gentamicin
aac-Iva	confers resistance to antibiotic 	Streptomycin
aac(2')-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-Ia	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-Ia	confers resistance to antibiotic 	Gentamicin
AAC(3)-Ia	confers resistance to antibiotic 	Streptomycin
aac(3)-Id	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Id	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Id	confers resistance to antibiotic 	Aminoglycosides
aac(3)-II	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IIa	confers resistance to antibiotic 	Gentamicin
aac(3)-IIa	confers resistance to antibiotic 	Streptomycin
aac(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Iid	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IId	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IId	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IId	confers resistance to antibiotic 	Gentamicin
aac(3)-IId	confers resistance to antibiotic 	Streptomycin
aac(3)-III	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Kanamycin
aac(3)-IVa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Iva	confers resistance to antibiotic 	Gentamicin
aac(3)-Iva	confers resistance to antibiotic 	Streptomycin
aac(3)-VI	confers resistance to antibiotic 	Aminoglycosides
aac(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-I30	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Gentamicin
aac(6')-Iaa	confers resistance to antibiotic 	Streptomycin
aac(6')-Iae	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib-cr	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib-cr	confers resistance to antibiotic 	Gentamicin
aac(6')-Ib-cr	confers resistance to antibiotic 	Quinolones
aac(6')-Ib-cr	confers resistance to antibiotic 	Streptomycin
aac(6')-Ib-cr8	confers resistance to antibiotic 	Quinolones
aac(6')-Ib11	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib3	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib4	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ic	confers resistance to antibiotic 	Aminoglycosides
aac(6')-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-IIc	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iy	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iy	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iy	confers resistance to antibiotic 	Gentamicin
aac(6')-Iy	confers resistance to antibiotic 	Streptomycin
aac(6')Ib-cr	confers resistance to antibiotic 	Gentamicin
aac(6')Ib-cr	confers resistance to antibiotic 	Quinolones
aac(6')Ib-cr	confers resistance to antibiotic 	Quinolones
aac(6')Ib-cr	confers resistance to antibiotic 	Streptomycin
aac(6’)-Iaa	confers resistance to antibiotic 	Gentamicin
aac(6’)-Iaa	confers resistance to antibiotic 	Kanamycin
aac(6’)-Ib-cr	confers resistance to antibiotic 	Kanamycin
aac(6)-31	confers resistance to antibiotic 	Gentamicin
aac(6)-31	confers resistance to antibiotic 	Streptomycin
aac(6)-Iaa	confers resistance to antibiotic 	Gentamicin
aac(6)-Iaa	confers resistance to antibiotic 	Streptomycin
aac(6)-Ib	confers resistance to antibiotic 	Gentamicin
aac(6)-Ib	confers resistance to antibiotic 	Streptomycin
aac(60)-Iaa	confers resistance to antibiotic 	Gentamicin
aac(60)-Iy	confers resistance to antibiotic 	Gentamicin
aac3-IIa	confers resistance to antibiotic 	Gentamicin
aac3-IIa	confers resistance to antibiotic 	Gentamicin
aac3-IIa	confers resistance to antibiotic 	Streptomycin
aac3-Iid	confers resistance to antibiotic 	Aminoglycosides
aac3-IId	confers resistance to antibiotic 	Gentamicin
aac3-IId	confers resistance to antibiotic 	Streptomycin
aac3-IVa	confers resistance to antibiotic 	Gentamicin
aac3-VIa	confers resistance to antibiotic 	Aminoglycosides
aac6-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac6-Iaa	confers resistance to antibiotic 	Gentamicin
aac6-Iaa	confers resistance to antibiotic 	Streptomycin
aac6-IId	confers resistance to antibiotic 	Gentamicin
aac6-IId	confers resistance to antibiotic 	Streptomycin
aac6-Iy	confers resistance to antibiotic 	Aminoglycosides
aac6-Iy	confers resistance to antibiotic 	Streptomycin
aacA4	confers resistance to antibiotic 	Aminoglycosides
aacA4	confers resistance to antibiotic 	Gentamicin
aacA4	confers resistance to antibiotic 	Streptomycin
aacC	confers resistance to antibiotic 	Aminoglycosides
aacC(3')	confers resistance to antibiotic 	Aminoglycosides
aacC(3)-IIa 	confers resistance to antibiotic 	Aminoglycosides
aacC(6') 	confers resistance to antibiotic 	Aminoglycosides
aacC1	confers resistance to antibiotic 	Aminoglycosides
aacC3	confers resistance to antibiotic 	Aminoglycosides
aad1A	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA	is downregulated by antibiotic	Chlorhexidine
aadA	is not regulated by antibiotic	Fosmidomycin
aadA	confers resistance to antibiotic 	Streptomycin
aadA	is not mutated by antibiotic	Streptomycin
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Gentamicin
aadA1	confers resistance to antibiotic 	Kanamycin
aadA1	confers resistance to antibiotic 	Streptomycin
aadA1	confers resistance to antibiotic 	Streptomycin
aadA1	confers resistance to antibiotic 	Gentamicin
aadA10	confers resistance to antibiotic 	Aminoglycosides
aadA11	confers resistance to antibiotic 	Gentamicin
aadA11	confers resistance to antibiotic 	Streptomycin
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA13	confers resistance to antibiotic 	Gentamicin
aadA13	confers resistance to antibiotic 	Streptomycin
aadA16	confers resistance to antibiotic 	Aminoglycosides
aadA17	confers resistance to antibiotic 	Aminoglycosides
aadA17	confers resistance to antibiotic 	Gentamicin
aadA17	confers resistance to antibiotic 	Gentamicin
aadA17	confers resistance to antibiotic 	Streptomycin
aadA1b	confers resistance to antibiotic 	Aminoglycosides
aadA2	confers resistance to antibiotic 	Aminoglycosides
aadA2	confers resistance to antibiotic 	Aminoglycosides
aadA2	confers resistance to antibiotic 	Aminoglycosides
aadA2	confers resistance to antibiotic 	Gentamicin
aadA2	confers resistance to antibiotic 	Kanamycin
