"old_names","new_names"
"Gentamicin","Gentamicin"
"Streptomycin","Streptomycin"
"Aminoglycosides","Aminoglycosides"
"Kanamycin","Kanamycin"
"Quinolones","Quinolones"
"Chlorhexidine","Chlorhexidine"
"Fosmidomycin","Fosmidomycin"
"Ciprofloxacin","Ciprofloxacin"
"Nalidixic Acid","Nalidixic Acid"
"Multiple Antibiotics","Multiple Antibiotics"
"Chloramphenicol","Chloramphenicol"
"Tetracycline","Tetracycline"
"Phenicols","Phenicols"
"Amoxicillin","Amoxicillin"
"Spectinomycin","Spectinomycin"
"HygromycinB","HygromycinB"
"Rifampicin","Rifampicin"
"Florfenicol","Florfenicol"
"Other Classes","Other Classes"
"Bacitracin","Bacitracin"
"Ampicillin","Ampicillin"
"Beta-Lactam","Beta-Lactam"
"Cafepime","Cafepime"
"Carbapenem","Carbapenem"
"Cefotaxime","Cefotaxime"
"Cefoxitin","Cefoxitin"
"Ceftazidime","Ceftazidime"
"Ceftriaxone","Ceftriaxone"
"Cephalolecithin","Cephalolecithin"
"Cephalosporin","Cephalosporin"
"Cephalothin","Cephalothin"
"Cephalothine","Cephalothine"
"Cephamycins","Cephamycins"
"Clavulanic Acid","Clavulanic Acid"
"Cloxacillin","Cloxacillin"
"Cotrimoxazole","Cotrimoxazole"
"Moxalactam","Moxalactam"
"Oxacillin","Oxacillin"
"Penicillin","Penicillin"
"Sulfamethoxazole","Sulfamethoxazole"
"Trimethoprim","Trimethoprim"
"Cephalosporins","Cephalosporins"
"Sulfonamide","Sulfonamide"
"Colistin","Colistin"
"Erythromycin","Erythromycin"
"lincosamide","lincosamide"
"Macrolides","Macrolides"
"Streptogramines","Streptogramines"
"Fosfomycin","Fosfomycin"
"Triclosan","Triclosan"
"Ofloxacin","Ofloxacin"
"Class I Integron","Class I Integron"
"Isoniazid","Isoniazid"
"Acriflavine","Acriflavine"
"Doxorubicin","Doxorubicin"
"Norfloxacin","Norfloxacin"
"Nitrofurantoin","Nitrofurantoin"
"Ticarcillin","Ticarcillin"
"Quatarnary Ammonium compounds","Quatarnary Ammonium compounds"
"Kasugamycin","Kasugamycin"
"Sulfanilamide","Sulfanilamide"
"Sulfisoxazole","Sulfisoxazole"
"Vancomycin","Vancomycin"
