Relation	Domain	Range
confers resistance to antibiotic	gene	antibiotic
confers no resistance to antibiotic	gene	antibiotic
is upregulated by antibiotic	gene	antibiotic
is not regulated by antibiotic	gene	antibiotic
is downregulated by antibiotic	gene	antibiotic
is mutated by antibiotic	gene	antibiotic
is not mutated by antibiotic	gene	antibiotic
is associated with resistance to antibiotic	gene	antibiotic
represses	gene	gene
no represses	gene	gene
activates	gene	gene
no activates	gene	gene
has	gene	molecular_function
is involved in	gene	biological_process
is part of	gene	cellular_component
targeted by	gene	antibiotic
