"old_names","new_names"
"aac-IVa","aac-IVa"
"aac-Iva","aac-Iva"
"aac(2')-IIa","aac(2')-IIa"
"aac(3)","aac(3)"
"AAC(3)-Ia","AAC(3)-Ia"
"aac(3)-Id","aac(3)-Id"
"aac(3)-II","aac(3)-II"
"aac(3)-IIa","aac(3)-IIa"
"aac(3)-Iid","aac(3)-Iid"
"aac(3)-IId","aac(3)-IId"
"aac(3)-III","aac(3)-III"
"aac(3)-IV","aac(3)-IV"
"aac(3)-IVa","aac(3)-IVa"
"aac(3)-Iva","aac(3)-Iva"
"aac(3)-VI","aac(3)-VI"
"aac(3)-VIa","aac(3)-VIa"
"AAC(3)-VIa","AAC(3)-VIa"
"aac(6')-I30","aac(6')-I30"
"aac(6')-Iaa","aac(6')-Iaa"
"aac(6')-Iae","aac(6')-Iae"
"aac(6')-Ib","aac(6')-Ib"
"aac(6')-Ib-cr","aac(6')-Ib-cr"
"aac(6')-Ib-cr8","aac(6')-Ib-cr8"
"aac(6')-Ib11","aac(6')-Ib11"
"aac(6')-Ib3","aac(6')-Ib3"
"aac(6')-Ib4","aac(6')-Ib4"
"aac(6')-Ic","aac(6')-Ic"
"aac(6')-IIa","aac(6')-IIa"
"aac(6')-IIc","aac(6')-IIc"
"aac(6')-Iy","aac(6')-Iy"
"aac(6')Ib-cr","aac(6')Ib-cr"
"aac(6)-31","aac(6)-31"
"aac(6)-Iaa","aac(6)-Iaa"
"aac(6)-Ib","aac(6)-Ib"
"aac(60)-Iaa","aac(60)-Iaa"
"aac(60)-Iy","aac(60)-Iy"
"aac3-IIa","aac3-IIa"
"aac3-Iid","aac3-Iid"
"aac3-IId","aac3-IId"
"aac3-IVa","aac3-IVa"
"aac3-VIa","aac3-VIa"
"aac6-Iaa","aac6-Iaa"
"aac6-IId","aac6-IId"
"aac6-Iy","aac6-Iy"
"aacA4","aacA4"
"aacC","aacC"
"aacC(3')","aacC(3')"
"aacC(3)-IIa","aacC(3)-IIa"
"aacC(6')","aacC(6')"
"aacC1","aacC1"
"aacC3","aacC3"
"aad1A","aad1A"
"aadA","aadA(Salmonella)"
"aadA1","aadA1"
"aadA10","aadA10"
"aadA11","aadA11"
"aadA12","aadA12"
"aadA13","aadA13"
"aadA16","aadA16"
"aadA17","aadA17"
"aadA1b","aadA1b"
"aadA2","aadA2"
"aadA21","aadA21"
"aadA22","aadA22"
"aadA23","aadA23"
"aadA24","aadA24"
"aadA25","aadA25"
"aadA2b","aadA2b"
"aadA3","aadA3"
"aadA5","aadA5"
"aadA6","aadA6"
"aadA7","aadA7"
"aadA8","aadA8"
"aadA8b","aadA8b"
"aadA9","aadA9"
"aadAB","aadAB"
"aadB","aadB"
"aadb","aadb"
"aadE","aadE"
"aaeA","aaeA(Salmonella)"
"aaeB","aaeB(Salmonella)"
"aaeX","aaeX(Salmonella)"
"aas","aas(Salmonella)"
"aat","aat(Salmonella)"
"abrB","abrB(Salmonella)"
"accA","accA(Salmonella)"
"accB","accB(Salmonella)"
"accC","accC(Salmonella)"
"accD","accD(Salmonella)"
"aceA","aceA(Salmonella)"
"aceB","aceB(Salmonella)"
"aceE","aceE(Salmonella)"
"aceF","aceF(Salmonella)"
"aceK","aceK(Salmonella)"
"ackA","ackA(Salmonella)"
"acnA","acnA(Salmonella)"
"acnB","acnB(Salmonella)"
"acpH","acpH(Salmonella)"
"acpP","acpP(Salmonella)"
"acpS","acpS(Salmonella)"
"acpT","acpT(Salmonella)"
"acrA","acrA(Salmonella)"
"acrB","acrB(Salmonella)"
"acrD","acrD(Salmonella)"
"acrE","acrE(Salmonella)"
"acrF","acrF(Salmonella)"
"acrR","acrR(Salmonella)"
"acrZ","acrZ(Salmonella)"
"acs","acs(Salmonella)"
"actP","actP(Salmonella)"
"ada","ada(Salmonella)"
"add","add(Salmonella)"
"addA","addA"
"adhE","adhE(Salmonella)"
"adhP","adhP(Salmonella)"
"adi","adi(Salmonella)"
"adiC","adiC(Salmonella)"
"adiY","adiY(Salmonella)"
"adk","adk(Salmonella)"
"aefA","aefA(Salmonella)"
"aegA","aegA(Salmonella)"
"aer","aer(Salmonella)"
"aes","aes(Salmonella)"
"agaR","agaR(Salmonella)"
"agp","agp(Salmonella)"
"ahpC","ahpC(Salmonella)"
"ahpF","ahpF(Salmonella)"
"aidB","aidB(Salmonella)"
"ais","ais(Salmonella)"
"alaE","alaE(Salmonella)"
"alaS","alaS(Salmonella)"
"aldB","aldB(Salmonella)"
"alkA","alkA(Salmonella)"
"alkB","alkB(Salmonella)"
"allA","allA(Salmonella)"
"allB","allB(Salmonella)"
"allC","allC(Salmonella)"
"allD","allD(Salmonella)"
"allP","allP(Salmonella)"
"allR","allR(Salmonella)"
"allS","allS(Salmonella)"
"alr","alr(Salmonella)"
"alx","alx(Salmonella)"
"amiA","amiA(Salmonella)"
"amiB","amiB(Salmonella)"
"amiC","amiC(Salmonella)"
"amn","amn(Salmonella)"
"ampC","ampC(Salmonella)"
"ampD","ampD(Salmonella)"
"ampE","ampE(Salmonella)"
"ampG","ampG(Salmonella)"
"ampH","ampH(Salmonella)"
"amtB","amtB(Salmonella)"
"amyA","amyA(Salmonella)"
"anmK","anmK(Salmonella)"
"ansA","ansA(Salmonella)"
"ansB","ansB(Salmonella)"
"ansP","ansP(Salmonella)"
"ant (3"")-Ia","ant (3"")-Ia"
"ant(2"")-Ia","ant(2"")-Ia"
"ant(3'')-Ia","ant(3'')-Ia"
"ant(3"")-Ia","ant(3"")-Ia"
"ant3''Ih","ant3''Ih"
"apaG","apaG(Salmonella)"
"apaH","apaH(Salmonella)"
"apbC","apbC"
"apbE","ftp(Salmonella)"
"apeE","apeE(Salmonella)"
"aph(3 )-Ii-iv","aph(3 )-Ii-iv"
"aph(3'')","aph(3'')"
"aph(3'')-Ib","aph(3'')-Ib"
"aph(3')-Ia","aph(3')-Ia"
"aph(3')-Ic","aph(3')-Ic"
"aph(3')-II","aph(3')-II"
"aph(3')-IIa","aph(3')-IIa"
"aph(3"")-Ia","aph(3"")-Ia"
"aph(3"")-Ib","aph(3"")-Ib"
"aph(3)-IIa","aph(3)-IIa"
"aph(300)-lb","aph(300)-lb"
"aph(4)-Ia","aph(4)-Ia"
"aph(6)-I","aph(6)-I"
"aph(6)-Ic","aph(6)-Ic"
"aph(6)-Id","aph(6)-Id"
"aph(9)-Ib","aph(9)-Ib"
"aph3","aph3"
"aph3-Ia","aph3-Ia"
"aph3-ia","aph3-ia"
"aph3-ic","aph3-ic"
"aph3-IIa","aph3-IIa"
"aph3-Iia","aph3-Iia"
"aph3''Ia","aph3''Ia"
"aph4-Ia","aph4-Ia"
"aph4-ia","aph4-ia"
"aphA","aphA(Salmonella)"
"aphA-3","aphA-3"
"aphA1","aphA1"
"aphA2","aphA2"
"aphAI","aphAI"
"apt","apt(Salmonella)"
"araA","araA(Salmonella)"
"araB","araB(Salmonella)"
"araC","araC(Salmonella)"
"araD","araD(Salmonella)"
"araE","araE(Salmonella)"
"araH","araH(Salmonella)"
"araJ","araJ(Salmonella)"
"arcA","arcA(Salmonella)"
"arcB","arcB(Salmonella)"
"arcC","ybcF(Salmonella)"
"argA","argA(Salmonella)"
"argB","argB(Salmonella)"
"argC","argC(Salmonella)"
"argD","argD(Salmonella)"
"argE","argE(Salmonella)"
"argG","argG(Salmonella)"
"argH","argH(Salmonella)"
"argI","argI(Salmonella)"
"argO","argO(Salmonella)"
"argP","argP(Salmonella)"
"argR","argR(Salmonella)"
"argS","argS(Salmonella)"
"argT","argT(Salmonella)"
"armA","armA"
"arnA","arnA(Salmonella)"
"arnB","arnB(Salmonella)"
"arnC","arnC(Salmonella)"
"arnD","arnD(Salmonella)"
"arnE","arnE(Salmonella)"
"arnF","arnF(Salmonella)"
"arnT","arnT(Salmonella)"
"aroA","aroA(Salmonella)"
"aroB","aroB(Salmonella)"
"aroC","aroC(Salmonella)"
"aroD","aroD(Salmonella)"
"aroE","aroE(Salmonella)"
"aroF","aroF(Salmonella)"
"aroG","aroG(Salmonella)"
"aroH","aroH(Salmonella)"
"aroK","aroK(Salmonella)"
"aroL","aroL(Salmonella)"
"aroM","aroM(Salmonella)"
"aroP","aroP(Salmonella)"
"arr-2","arr-2"
"arr-3","arr-3"
"artI","artI(Salmonella)"
"artJ","artJ(Salmonella)"
"artM","artM(Salmonella)"
"artP","artP(Salmonella)"
"artQ","artQ(Salmonella)"
"asd","asd(Salmonella)"
"asmA","asmA(Salmonella)"
"asnA","asnA(Salmonella)"
"asnB","asnB(Salmonella)"
"asnC","asnC(Salmonella)"
"asnS","asnS(Salmonella)"
"aspA","aspA(Salmonella)"
"aspC","aspC(Salmonella)"
"aspS","aspS(Salmonella)"
"asr","asr(Salmonella)"
"asrA","asrA(Salmonella)"
"asrB","asrB(Salmonella)"
"asrC","asrC(Salmonella)"
"astA","astA(Salmonella)"
"astB","astB(Salmonella)"
"astC","astC(Salmonella)"
"astD","astD(Salmonella)"
"astE","astE(Salmonella)"
"atpA","atpA(Salmonella)"
"atpB","atpB(Salmonella)"
"atpC","atpC(Salmonella)"
"atpD","atpD(Salmonella)"
"atpE","atpE(Salmonella)"
"atpF","atpF(Salmonella)"
"atpG","atpG(Salmonella)"
"atpH","atpH(Salmonella)"
"atpI","atpI(Salmonella)"
"avrA","avrA(Salmonella)"
"avtA","avtA(Salmonella)"
"azoR","azoR(Salmonella)"
"b2145","b2145(Salmonella)"
"bacA","bacA(Salmonella)"
"baeR","baeR(Salmonella)"
"baeS","baeS(Salmonella)"
"bamA","bamA(Salmonella)"
"bamB","bamB(Salmonella)"
"bamE","bamE(Salmonella)"
"barA","barA(Salmonella)"
"basR","basR(Salmonella)"
"basS","basS(Salmonella)"
"bax","bax(Salmonella)"
"bcfA","bcfA(Salmonella)"
"bcfB","bcfB(Salmonella)"
"bcfC","bcfC(Salmonella)"
"bcfD","bcfD(Salmonella)"
"bcfE","bcfE(Salmonella)"
"bcfF","bcfF(Salmonella)"
"bcfG","bcfG(Salmonella)"
"bcfH","bcfH(Salmonella)"
"bcp","bcp(Salmonella)"
"bcr","bcr(Salmonella)"
"bcrC","bcrC"
"bcsA","bcsA(Salmonella)"
"bcsB","bcsB(Salmonella)"
"bcsC","bcsC(Salmonella)"
"bcsE","bcsE(Salmonella)"
"bcsF","bcsF(Salmonella)"
"bcsG","bcsG(Salmonella)"
"bcsQ","bcsQ(Salmonella)"
"bcsZ","bcsZ(Salmonella)"
"bdm","bdm(Salmonella)"
"bepA","bepA(Salmonella)"
"bfd","bfd(Salmonella)"
"bfr","bfr(Salmonella)"
"bglA","bglA(Salmonella)"
"bglJ","bglJ(Salmonella)"
"bglX","bglX(Salmonella)"
"bigA","bigA(Salmonella)"
"bioA","bioA(Salmonella)"
"bioB","bioB(Salmonella)"
"bioC","bioC(Salmonella)"
"bioD1","bioD1"
"bioD2","bioD2"
"bioF","bioF(Salmonella)"
"bioH","bioH(Salmonella)"
"bioP","bioP(Salmonella)"
"bipA","bipA(Salmonella)"
"birA","birA(Salmonella)"
"bisC","bisC(Salmonella)"
"bla","bla"
"blaCARB","blaCARB"
"blacarB","blacarB"
"blaCMY","blaCMY"
"blaCTX-M","blaCTX-M"
"blaDHA","blaDHA"
"blaFOX","blaFOX"
"blaHER","blaHER"
"blaHERA","blaHERA"
"blaOXA","blaOXA"
"blaOXY","blaOXY"
