"old_names","new_names"
"aac-IVa","aac-IVa"
"aac-Iva","aac-Iva"
"aac(2')-IIa","aac(2')-IIa"
"aac(3)","aac(3)"
"AAC(3)-Ia","AAC(3)-Ia"
"aac(3)-Id","aac(3)-Id"
"aac(3)-II","aac(3)-II"
"aac(3)-IIa","aac(3)-IIa"
"aac(3)-Iid","aac(3)-Iid"
"aac(3)-IId","aac(3)-IId"
"aac(3)-III","aac(3)-III"
"aac(3)-IV","aac(3)-IV"
"aac(3)-IVa","aac(3)-IVa"
"aac(3)-Iva","aac(3)-Iva"
"aac(3)-VI","aac(3)-VI"
"aac(3)-VIa","aac(3)-VIa"
"AAC(3)-VIa","AAC(3)-VIa"
"aac(6')-I30","aac(6')-I30"
"aac(6')-Iaa","aac(6')-Iaa"
"aac(6')-Iae","aac(6')-Iae"
"aac(6')-Ib","aac(6')-Ib"
"aac(6')-Ib-cr","aac(6')-Ib-cr"
"aac(6')-Ib-cr8","aac(6')-Ib-cr8"
"aac(6')-Ib11","aac(6')-Ib11"
"aac(6')-Ib3","aac(6')-Ib3"
"aac(6')-Ib4","aac(6')-Ib4"
"aac(6')-Ic","aac(6')-Ic"
"aac(6')-IIa","aac(6')-IIa"
"aac(6')-IIc","aac(6')-IIc"
"aac(6')-Iy","aac(6')-Iy"
"aac(6')Ib-cr","aac(6')Ib-cr"
"aac(6)-31","aac(6)-31"
"aac(6)-Iaa","aac(6)-Iaa"
"aac(6)-Ib","aac(6)-Ib"
"aac(60)-Iaa","aac(60)-Iaa"
"aac(60)-Iy","aac(60)-Iy"
"aac3-IIa","aac3-IIa"
"aac3-Iid","aac3-Iid"
"aac3-IId","aac3-IId"
"aac3-IVa","aac3-IVa"
"aac3-VIa","aac3-VIa"
"aac6-Iaa","aac6-Iaa"
"aac6-IId","aac6-IId"
"aac6-Iy","aac6-Iy"
"aacA4","aacA4"
"aacC","aacC"
"aacC(3')","aacC(3')"
"aacC(3)-IIa","aacC(3)-IIa"
"aacC(6')","aacC(6')"
"aacC1","aacC1"
"aacC3","aacC3"
"aad1A","aad1A"
"aadA","aadA"
"aadA1","aadA1"
"aadA10","aadA10"
"aadA11","aadA11"
"aadA12","aadA12"
"aadA13","aadA13"
"aadA16","aadA16"
"aadA17","aadA17"
"aadA1b","aadA1b"
"aadA2","aadA2"
"aadA21","aadA21"
"aadA22","aadA22"
"aadA23","aadA23"
"aadA24","aadA24"
"aadA25","aadA25"
"aadA2b","aadA2b"
"aadA3","aadA3"
"aadA5","aadA5"
"aadA6","aadA6"
"aadA7","aadA7"
"aadA8","aadA8"
"aadA8b","aadA8b"
"aadA9","aadA9"
"aadAB","aadAB"
"aadB","aadB"
"aadb","aadb"
"aadE","aadE"
"aaeA","aaeA"
"aaeB","aaeB"
"aaeX","aaeX"
"aas","aas"
"aat","aat"
"abrB","abrB"
"accA","accA"
"accB","accB"
"accC","accC"
"accD","accD"
"aceA","aceA"
"aceB","aceB"
"aceE","aceE"
"aceF","aceF"
"aceK","aceK"
"ackA","ackA"
"acnA","acnA"
"acnB","acnB"
"acpH","acpH"
"acpP","acpP"
"acpS","acpS"
"acpT","acpT"
"acrA","acrA"
"acrB","acrB"
"acrD","acrD"
"acrE","acrE"
"acrF","acrF"
"acrR","acrR"
"acrZ","acrZ"
"acs","acs"
"actP","actP"
"ada","ada"
"add","add"
"addA","addA"
"adhE","adhE"
"adhP","adhP"
"adi","adi"
"adiC","adiC"
"adiY","adiY"
"adk","adk"
"aefA","aefA"
"aegA","aegA"
"aer","aer"
"aes","aes"
"agaR","agaR"
"agp","agp"
"ahpC","ahpC"
"ahpF","ahpF"
"aidB","aidB"
"ais","ais"
"alaE","alaE"
"alaS","alaS"
"aldB","aldB"
"alkA","alkA"
"alkB","alkB"
"allA","allA"
"allB","allB"
"allC","allC"
"allD","allD"
"allP","allP"
"allR","allR"
"allS","allS"
"alr","alr"
"alx","alx"
"amiA","amiA"
"amiB","amiB"
"amiC","amiC"
"amn","amn"
"ampC","ampC"
"ampD","ampD"
"ampE","ampE"
"ampG","ampG"
"ampH","ampH"
"amtB","amtB"
"amyA","amyA"
"anmK","anmK"
"ansA","ansA"
"ansB","ansB"
"ansP","ansP"
"ant (3"")-Ia","ant (3"")-Ia"
"ant(2"")-Ia","ant(2"")-Ia"
"ant(3'')-Ia","ant(3'')-Ia"
"ant(3"")-Ia","ant(3"")-Ia"
"ant3''Ih","ant3''Ih"
"apaG","apaG"
"apaH","apaH"
"apbC","apbC"
"apbE","ftp"
"apeE","apeE"
"aph(3 )-Ii-iv","aph(3 )-Ii-iv"
"aph(3'')","aph(3'')"
"aph(3'')-Ib","aph(3'')-Ib"
"aph(3')-Ia","aph(3')-Ia"
"aph(3')-Ic","aph(3')-Ic"
"aph(3')-II","aph(3')-II"
"aph(3')-IIa","aph(3')-IIa"
"aph(3"")-Ia","aph(3"")-Ia"
"aph(3"")-Ib","aph(3"")-Ib"
"aph(3)-IIa","aph(3)-IIa"
"aph(300)-lb","aph(300)-lb"
"aph(4)-Ia","aph(4)-Ia"
"aph(6)-I","aph(6)-I"
"aph(6)-Ic","aph(6)-Ic"
"aph(6)-Id","aph(6)-Id"
"aph(9)-Ib","aph(9)-Ib"
"aph3","aph3"
"aph3-Ia","aph3-Ia"
"aph3-ia","aph3-ia"
"aph3-ic","aph3-ic"
"aph3-IIa","aph3-IIa"
"aph3-Iia","aph3-Iia"
"aph3''Ia","aph3''Ia"
"aph4-Ia","aph4-Ia"
"aph4-ia","aph4-ia"
"aphA","aphA"
"aphA-3","aphA-3"
"aphA1","aphA1"
"aphA2","aphA2"
"aphAI","aphAI"
"apt","apt"
"araA","araA"
"araB","araB"
"araC","araC"
"araD","araD"
"araE","araE"
"araH","araH"
"araJ","araJ"
"arcA","arcA"
"arcB","arcB"
"arcC","ybcF"
"argA","argA"
"argB","argB"
"argC","argC"
"argD","argD"
"argE","argE"
"argG","argG"
"argH","argH"
"argI","argI"
"argO","argO"
"argP","argP"
"argR","argR"
"argS","argS"
"argT","argT"
"armA","armA"
"arnA","arnA"
"arnB","arnB"
"arnC","arnC"
"arnD","arnD"
"arnE","arnE"
"arnF","arnF"
"arnT","arnT"
"aroA","aroA"
"aroB","aroB"
"aroC","aroC"
"aroD","aroD"
"aroE","aroE"
"aroF","aroF"
"aroG","aroG"
"aroH","aroH"
"aroK","aroK"
"aroL","aroL"
"aroM","aroM"
"aroP","aroP"
"arr-2","arr-2"
"arr-3","arr-3"
"artI","artI"
"artJ","artJ"
"artM","artM"
"artP","artP"
"artQ","artQ"
"asd","asd"
"asmA","asmA"
"asnA","asnA"
"asnB","asnB"
"asnC","asnC"
"asnS","asnS"
"aspA","aspA"
"aspC","aspC"
"aspS","aspS"
"asr","asr"
"asrA","asrA"
"asrB","asrB"
"asrC","asrC"
"astA","astA"
"astB","astB"
"astC","astC"
"astD","astD"
"astE","astE"
"atpA","atpA"
"atpB","atpB"
"atpC","atpC"
"atpD","atpD"
"atpE","atpE"
"atpF","atpF"
"atpG","atpG"
"atpH","atpH"
"atpI","atpI"
"avrA","avrA"
"avtA","avtA"
"azoR","azoR"
"b2145","b2145"
"bacA","bacA"
"baeR","baeR"
"baeS","baeS"
"bamA","bamA"
"bamB","bamB"
"bamE","bamE"
"barA","barA"
"basR","basR"
"basS","basS"
"bax","bax"
"bcfA","bcfA"
"bcfB","bcfB"
"bcfC","bcfC"
"bcfD","bcfD"
"bcfE","bcfE"
"bcfF","bcfF"
"bcfG","bcfG"
"bcfH","bcfH"
"bcp","bcp"
"bcr","bcr"
"bcrC","bcrC"
"bcsA","bcsA"
"bcsB","bcsB"
"bcsC","bcsC"
"bcsE","bcsE"
"bcsF","bcsF"
"bcsG","bcsG"
"bcsQ","bcsQ"
"bcsZ","bcsZ"
"bdm","bdm"
"bepA","bepA"
"bfd","bfd"
"bfr","bfr"
"bglA","bglA"
"bglJ","bglJ"
"bglX","bglX"
"bigA","bigA"
"bioA","bioA"
"bioB","bioB"
"bioC","bioC"
"bioD1","bioD1"
"bioD2","bioD2"
"bioF","bioF"
"bioH","bioH"
"bioP","bioP"
"bipA","bipA"
"birA","birA"
"bisC","bisC"
"bla","bla"
"blaCARB","blaCARB"
"blacarB","blacarB"
"blaCMY","blaCMY"
"blaCTX-M","blaCTX-M"
"blaDHA","blaDHA"
"blaFOX","blaFOX"
"blaHER","blaHER"
"blaHERA","blaHERA"
"blaOXA","blaOXA"
"blaOXY","blaOXY"
"blaPER","blaPER"
"blaPSE","blaPSE"
"blaSHV","blaSHV"
"blaSME","blaSME"
"blaTEM","blaTEM"
"blc","blc"
"ble","ble"
"bleO","bleO"
"blmS","blmS"
"bolA","bolA"
"brnQ","brnQ"
"btsR","btsR"
"btuB","btuB"
"btuC","btuC"
"btuD","btuD"
"btuE","btuE"
"btuF","btuF"
"btuR","btuR"
"cadA","cadA"
"cadB","cadB"
"cadC","cadC"
"cafA","rng"
"caiA","caiA"
"caiB","caiB"
"caiC","caiC"
"caiD","caiD"
"caiE","caiE"
"caiF","caiF"
"caiT","caiT"
"carA","carA"
"carB","carB"
"cas1","cas1"
"CAT","CAT"
"cat1","cat1"
"cat2","cat2"
"cat4","cat4"
"catA","catA"
"catA1","catA1"
"catA2","catA2"
"catB2","ptsG"
"catB3","catB3"
"catB4","catB4"
"catB8","catB8"
"catP","catP"
"cbiA","cbiA"
"cbiB","cbiB"
"cbiC","cbiC"
"cbiD","cbiD"
"cbiE","cbiE"
"cbiF","cbiF"
"cbiG","cbiG"
"cbiH","cbiH"
"cbiJ","cbiJ"
"cbiK","cbiK"
"cbiL","cbiL"
"cbiM","cbiM"
"cbiN","cbiN"
"cbiO","cbiO"
"cbiP","cbiP"
"cbiQ","cbiQ"
"cbiT","cbiT"
"cbpA","cbpA"
"cbpM","cbpM"
"cca","cca"
"ccdA","ccdA"
"ccdB","ccdB"
"ccmA1","ccmA1"
"ccmA2","ccmA2"
"ccmB","ccmB"
"ccmC","ccmC"
"ccmD","ccmD"
"ccmE1","ccmE1"
"ccmF","ccmF"
"ccmH","ccmH"
"cdaR","cdaR"
"cdd","cdd"
"cdh","cdh"
"cdsA","cdsA"
"cedA","cedA"
"celA","celA"
"celB","chbC"
"celC","chbA"
"celD","chbR"
"celF","chbF"
"cfa","cfa"
"chaA","chaA"
"chaB","chaB"
"chbG","chbG"
"cheA","cheA"
"cheB","cheB"
"cheM","cheM"
"cheR","cheR"
"cheW","cheW"
"chey","chey"
"cheY","cheY"
"chez","chez"
"cheZ","cheZ"
"chiP","chiP"
"chiQ","chiQ"
"cho","cho"
"cigR","cigR"
"cirA","cirA"
"citA","citA"
"citB","citB"
"citC","citC"
"citC2","citC2"
"citD1","citD1"
"citD2","citD2"
"citE","citE"
"citE2","citE2"
"citF","citF"
"citF2","citF2"
"citG1","citG1"
"citG2","citG2"
"citP","citP"
"citT","citT"
"citX","citX"
"citX2","citX2"
"clcA","clcA"
"clcB","clcB"
"clpA","clpA"
"clpB","clpB"
"clpP","clpP"
"clpS","clpS"
"clpX","clpX"
"clsA","clsA"
"clsB","clsB"
"cmeA","cmeA"
"cmeB","cmeB"
"cmeC","cmeC"
"cmeR","cmeR"
"cmk","cmk"
"cml","cml"
"cmlA","mdfA"
"cmlA1","cmlA1"
"cmlA5","cmlA5"
"cmlA9","cmlA9"
"cmoA","cmoA"
