"old_names","new_names"
"transporter activity","transporter activity"
"integral component of plasma membrane","integral component of plasma membrane"
"biological entity","biological entity"
"anatomical entity","anatomical entity"
"membrane","membrane"
"integral component of membrane","integral component of membrane"
"cellular anatomical entity","cellular anatomical entity"
"intrinsic component of plasma membrane","intrinsic component of plasma membrane"
"plasma membrane","plasma membrane"
"intrinsic component of membrane","intrinsic component of membrane"
"cell periphery","cell periphery"
"localization","localization"
"establishment of localization","establishment of localization"
"transport","transport"
"organic substance transport","organic substance transport"
"metabolic process","metabolic process"
"phosphorus metabolic process","phosphorus metabolic process"
"cellular metabolic process","cellular metabolic process"
"cellular process","cellular process"
"phosphate-containing compound metabolic process","phosphate-containing compound metabolic process"
"catalytic activity","catalytic activity"
"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity"
"transferase activity, transferring phosphorus-containing groups","transferase activity, transferring phosphorus-containing groups"
"phosphorylation","phosphorylation"
"transferase activity","transferase activity"
"phosphotransferase activity, alcohol group as acceptor","phosphotransferase activity, alcohol group as acceptor"
"kinase activity","kinase activity"
"nitrogen compound transport","nitrogen compound transport"
"transmembrane transport","transmembrane transport"
"transmembrane transporter activity","transmembrane transporter activity"
"carboxylic acid transmembrane transport","carboxylic acid transmembrane transport"
"amino acid transmembrane transporter activity","amino acid transmembrane transporter activity"
"organic acid transmembrane transporter activity","organic acid transmembrane transporter activity"
"organic acid transmembrane transport","organic acid transmembrane transport"
"amino acid transport","amino acid transport"
"carboxylic acid transmembrane transporter activity","carboxylic acid transmembrane transporter activity"
"amino acid transmembrane transport","amino acid transmembrane transport"
"organic acid transport","organic acid transport"
"branched-chain amino acid transport","branched-chain amino acid transport"
"branched-chain amino acid transmembrane transporter activity","branched-chain amino acid transmembrane transporter activity"
"organophosphate metabolic process","organophosphate metabolic process"
"organic cyclic compound metabolic process","organic cyclic compound metabolic process"
"organic cyclic compound biosynthetic process","organic cyclic compound biosynthetic process"
"NAD biosynthetic process","NAD biosynthetic process"
"organonitrogen compound metabolic process","organonitrogen compound metabolic process"
"biosynthetic process","biosynthetic process"
"organonitrogen compound biosynthetic process","organonitrogen compound biosynthetic process"
"primary metabolic process","primary metabolic process"
"nucleotide metabolic process","nucleotide metabolic process"
"small molecule metabolic process","small molecule metabolic process"
"heterocycle metabolic process","heterocycle metabolic process"
"heterocycle biosynthetic process","heterocycle biosynthetic process"
"pyridine nucleotide metabolic process","pyridine nucleotide metabolic process"
"pyridine nucleotide biosynthetic process","pyridine nucleotide biosynthetic process"
"pyridine-containing compound biosynthetic process","pyridine-containing compound biosynthetic process"
"pyridine-containing compound metabolic process","pyridine-containing compound metabolic process"
"cellular nitrogen compound metabolic process","cellular nitrogen compound metabolic process"
"nucleoside phosphate biosynthetic process","nucleoside phosphate biosynthetic process"
"nucleobase-containing small molecule metabolic process","nucleobase-containing small molecule metabolic process"
"nucleotide biosynthetic process","nucleotide biosynthetic process"
"organic substance biosynthetic process","organic substance biosynthetic process"
"cellular biosynthetic process","cellular biosynthetic process"
"nucleobase-containing compound metabolic process","nucleobase-containing compound metabolic process"
"nucleoside phosphate metabolic process","nucleoside phosphate metabolic process"
"cellular aromatic compound metabolic process","cellular aromatic compound metabolic process"
"cellular nitrogen compound biosynthetic process","cellular nitrogen compound biosynthetic process"
"nitrogen compound metabolic process","nitrogen compound metabolic process"
"nicotinamide nucleotide metabolic process","nicotinamide nucleotide metabolic process"
"nucleobase-containing compound biosynthetic process","nucleobase-containing compound biosynthetic process"
"nicotinamide nucleotide biosynthetic process","nicotinamide nucleotide biosynthetic process"
"organophosphate biosynthetic process","organophosphate biosynthetic process"
"organic substance metabolic process","organic substance metabolic process"
"aromatic compound biosynthetic process","aromatic compound biosynthetic process"
"dicarboxylic acid metabolic process","dicarboxylic acid metabolic process"
"organic acid metabolic process","organic acid metabolic process"
"organic cyclic compound catabolic process","organic cyclic compound catabolic process"
"dicarboxylic acid catabolic process","dicarboxylic acid catabolic process"
"catabolic process","catabolic process"
"organonitrogen compound catabolic process","organonitrogen compound catabolic process"
"quinolinate metabolic process","quinolinate metabolic process"
"small molecule catabolic process","small molecule catabolic process"
"organic acid catabolic process","organic acid catabolic process"
"pyridine-containing compound catabolic process","pyridine-containing compound catabolic process"
"heterocycle catabolic process","heterocycle catabolic process"
"organic substance catabolic process","organic substance catabolic process"
"cellular catabolic process","cellular catabolic process"
"oxoacid metabolic process","oxoacid metabolic process"
"cellular nitrogen compound catabolic process","cellular nitrogen compound catabolic process"
"carboxylic acid catabolic process","carboxylic acid catabolic process"
"quinolinate catabolic process","quinolinate catabolic process"
"carboxylic acid metabolic process","carboxylic acid metabolic process"
"material anatomical entity","material anatomical entity"
"cell","cell"
"connected anatomical structure","connected anatomical structure"
"cytoplasm","cytoplasm"
"intracellular anatomical structure","intracellular anatomical structure"
"glycosyltransferase activity","glycosyltransferase activity"
"nicotinate-nucleotide diphosphorylase (carboxylating) activity","nicotinate-nucleotide diphosphorylase (carboxylating) activity"
"pentosyltransferase activity","pentosyltransferase activity"
"C4-dicarboxylate transport","C4-dicarboxylate transport"
