"old_names","new_names"
"melB","melB(Salmonella)"
"ispE","ispE(Salmonella)"
"livM","livM(Salmonella)"
"nadC","nadC(Salmonella)"
"yaaH","satP(Salmonella)"
"fepD","fepD(Salmonella)"
"rnk","rnk(Salmonella)"
"cspE","cspE(Salmonella)"
"ybeF","ybeF(Salmonella)"
"mrdB","mrdB(Salmonella)"
"ybeB","ybeB(Salmonella)"
"holA","holA(Salmonella)"
"STM0649","STM0649(Salmonella)"
"gltJ","gltJ(Salmonella)"
"phoL","ybeZ(Salmonella)"
"nagD","umpH(Salmonella)"
"chiP","chiP(Salmonella)"
"fur","fur(Salmonella)"
"dtpD","dtpD(Salmonella)"
"STM0033","STM0033(Salmonella)"
"nhaR","nhaR(Salmonella)"
"ribF","ribF(Salmonella)"
"slpA","fkpB(Salmonella)"
"tolQ","tolQ(Salmonella)"
"tolR","tolR(Salmonella)"
"pal","pal(Salmonella)"
"modB","modB(Salmonella)"
"moaB","moaB(Salmonella)"
"tbpA","tbpA(Salmonella)"
"ybhS","ybhS(Salmonella)"
"ftsI","ftsI(Salmonella)"
"ftsW","ftsW(Salmonella)"
"glnP","glnP(Salmonella)"
"ftsA","ftsA(Salmonella)"
"ppdD","ppdD(Salmonella)"
"ybiS","ldtB(Salmonella)"
"ybiV(1)","ybiV(1)(Salmonella)"
"iaaA","iaaA(Salmonella)"
"gsiD","gsiD(Salmonella)"
"artQ","artQ(Salmonella)"
"cspD","cspD(Salmonella)"
"STM0952","STM0952(Salmonella)"
"yadS","yadS(Salmonella)"
"ycaJ","rarA(Salmonella)"
"cdsA","cdsA(Salmonella)"
"proS","proS(Salmonella)"
"pflB","pflB(Salmonella)"
"focA","focA(Salmonella)"
"rpsA","rpsA(Salmonella)"
"ycaR","ycaR(Salmonella)"
"yccF","yccF(Salmonella)"
"yccX","yccX(Salmonella)"
"tusE","tusE(Salmonella)"
"hpaH","hpaH(Salmonella)"
"phoB","phoB(Salmonella)"
"STM0402","STM0402(Salmonella)"
"acpH","acpH(Salmonella)"
"phoH","phoH(Salmonella)"
"ycdX","ycdX(Salmonella)"
"pabC","pabC(Salmonella)"
"cyoD","cyoD(Salmonella)"
"cyoB","cyoB(Salmonella)"
"cyoA","cyoA(Salmonella)"
"bolA","bolA(Salmonella)"
"ybaV","ybaV(Salmonella)"
"ybaW","fadM(Salmonella)"
"queC","queC(Salmonella)"
"ybaO","decR(Salmonella)"
"glnK","glnK(Salmonella)"
"amtB","amtB(Salmonella)"
"leuE","leuE(Salmonella)"
"mipA","mipA(Salmonella)"
"acrR","acrR(Salmonella)"
"ybaN","ybaN(Salmonella)"
"ybbJ","ybbJ(Salmonella)"
"sfbC","sfbC(Salmonella)"
"allB","allB(Salmonella)"
"rfbI","rfbI(Salmonella)"
"fepG","fepG(Salmonella)"
"STM1324","STM1324(Salmonella)"
"lpp1","lpp1"
"ttrR","ttrR(Salmonella)"
"tyrS","tyrS(Salmonella)"
"STM1481","STM1481(Salmonella)"
"mdtJ","mdtJ(Salmonella)"
"mdtI","mdtI(Salmonella)"
"adhP","adhP(Salmonella)"
"ydcZ","ydcZ(Salmonella)"
"STM1653","STM1653(Salmonella)"
"yciM","lapB(Salmonella)"
"pgpB","pgpB(Salmonella)"
"yciK","yciK(Salmonella)"
"ychE","ychE(Salmonella)"
"tdk","tdk(Salmonella)"
"hnr","rssB(Salmonella)"
"ychN","ychN(Salmonella)"
"ychF","ychF(Salmonella)"
"STM1789","STM1789(Salmonella)"
"ycgM","ycgM(Salmonella)"
"slp","slp(Salmonella)"
"yoaA","yoaA(Salmonella)"
"manY","manY(Salmonella)"
"exoX","exoX(Salmonella)"
"ftnB","ftnB(Salmonella)"
"pgsA","pgsA(Salmonella)"
"yecS","yecS(Salmonella)"
"yeeY","yeeY(Salmonella)"
"tyrA","tyrA(Salmonella)"
"yfjD","yfjD(Salmonella)"
"grpE","grpE(Salmonella)"
"bamE","bamE(Salmonella)"
"yfjG","ratA(Salmonella)"
"emrR","mprA(Salmonella)"
"yqaB","yqaB(Salmonella)"
"mltB","mltB(Salmonella)"
"hypC","hypC(Salmonella)"
"yegQ","trhP(Salmonella)"
"yegT","yegT(Salmonella)"
"yegW","yegW(Salmonella)"
"stcA","stcA(Salmonella)"
"yohD","yohD(Salmonella)"
"ptpS","ptpS(Salmonella)"
"STM2177","STM2177(Salmonella)"
"STM2180","STM2180(Salmonella)"
"gcvA","gcvA(Salmonella)"
"fruK","fruK(Salmonella)"
"ygdQ","ygdQ(Salmonella)"
"rplY","rplY(Salmonella)"
"zapA","zapA(Salmonella)"
"yggE","yggE(Salmonella)"
"epd","epd(Salmonella)"
"yggG","loiP(Salmonella)"
"napB","napB(Salmonella)"
"napD","napD(Salmonella)"
"yfaV","yfaV(Salmonella)"
"ansB","ansB(Salmonella)"
"menB","menB(Salmonella)"
"STM3128","STM3128(Salmonella)"
"nuoK","nuoK(Salmonella)"
"gsp","gss(Salmonella)"
"nuoB","nuoB(Salmonella)"
"nuoA","nuoA(Salmonella)"
"hypO","hypO(Salmonella)"
"exbD","exbD(Salmonella)"
"yfcC","yfcC(Salmonella)"
"ygiN","ygiN(Salmonella)"
"yqiE","nudF(Salmonella)"
"ygiC","ygiC(Salmonella)"
"hldE","hldE(Salmonella)"
"fabB","fabB(Salmonella)"
"yfcZ","yfcZ(Salmonella)"
"vacJ","mlaA(Salmonella)"
"yhaH","yhaH(Salmonella)"
"garL","garL(Salmonella)"
"STM2446","STM2446(Salmonella)"
"yraP","dolP(Salmonella)"
"nudK","nudK(Salmonella)"
"yhbS","yhbS(Salmonella)"
"perM","yfgO(Salmonella)"
"hda","hda(Salmonella)"
"secG","secG(Salmonella)"
"glmM","glmM(Salmonella)"
"rplU","rplU(Salmonella)"
"yfgM","yfgM(Salmonella)"
"fdx","fdx(Salmonella)"
"iscA","iscA(Salmonella)"
"nifU","iscU(Salmonella)"
"yrbK","lptC(Salmonella)"
"hcaT","hcaT(Salmonella)"
"tadA","tadA(Salmonella)"
"grcA","grcA(Salmonella)"
"yfiF","yfiF(Salmonella)"
"pssA","pssA(Salmonella)"
"clpB","clpB(Salmonella)"
"yfiA","raiA(Salmonella)"
"yhbG","lptB(Salmonella)"
"ptsN","ptsN(Salmonella)"
"sspB","sspB(Salmonella)"
"yhcS","aaeR(Salmonella)"
"tldD","tldD(Salmonella)"
"cafA","rng(Salmonella)"
"mreD","mreD(Salmonella)"
"yhdH","yhdH(Salmonella)"
"yhdJ","yhdJ(Salmonella)"
"rplQ","rplQ(Salmonella)"
"rplR","rplR(Salmonella)"
"rplN","rplN(Salmonella)"
"rplW","rplW(Salmonella)"
"prkB","prkB(Salmonella)"
"gntK","gntK(Salmonella)"
"gntR","gntR(Salmonella)"
"ftsE","ftsE(Salmonella)"
"yhhN","yhhN(Salmonella)"
"yhiR","rlmJ(Salmonella)"
"STM3653","STM3653(Salmonella)"
"mtlA","mtlA(Salmonella)"
"mtlR","mtlR(Salmonella)"
"grxC","grxC(Salmonella)"
"yicE","xanP(Salmonella)"
"yicJ","yicJ(Salmonella)"
"STM3785","STM3785(Salmonella)"
"rbsK","rbsK(Salmonella)"
"ilvN","ilvN(Salmonella)"
"STM3820","STM3820(Salmonella)"
"yieE","yieE(Salmonella)"
"atpH","atpH(Salmonella)"
"atpB","atpB(Salmonella)"
"atpD","atpD(Salmonella)"
"atpA","atpA(Salmonella)"
"rbsC","rbsC(Salmonella)"
"tatC","tatC(Salmonella)"
"yihV","yihV(Salmonella)"
"yiiD","fabY(Salmonella)"
"cpxA","cpxA(Salmonella)"
"yiiR","yiiR(Salmonella)"
"cytR","cytR(Salmonella)"
"cptA","ygfX(Salmonella)"
"oxyR","oxyR(Salmonella)"
"ubiA","ubiA(Salmonella)"
"cutA","cutA(Salmonella)"
"aspA","aspA(Salmonella)"
"gdx","gdx(Salmonella)"
"vacB","rnr(Salmonella)"
"fklB","fklB(Salmonella)"
"ytfL","paeA(Salmonella)"
"ytfP","ytfP(Salmonella)"
"yjiE","hypT(Salmonella)"
"yjiG","yjiG(Salmonella)"
"mdtM","mdtM(Salmonella)"
"osmY","osmY(Salmonella)"
"serB","serB(Salmonella)"
"creA","creA(Salmonella)"
"arcA","arcA(Salmonella)"
"iacP","iacP(Salmonella)"
"galR","galR(Salmonella)"
"leuO","leuO(Salmonella)"
"wzzE","wzzE(Salmonella)"
"msbA","msbA(Salmonella)"
"btuD","btuD(Salmonella)"
"ftsH","ftsH(Salmonella)"
"cbpA","cbpA(Salmonella)"
"yjgM","yjgM(Salmonella)"
"infA","infA(Salmonella)"
"nrdE","nrdE(Salmonella)"
"argI","argI(Salmonella)"
"ydfG","ydfG(Salmonella)"
"csrA","csrA(Salmonella)"
"ptsJ","ptsJ(Salmonella)"
"yfeL","yfeL(Salmonella)"
"invG","invG(Salmonella)"
"manZ","manZ(Salmonella)"
"pspA","pspA(Salmonella)"
"pspC","pspC(Salmonella)"
"STM1676","STM1676(Salmonella)"
"yncA","mnaT(Salmonella)"
"STM1533","STM1533(Salmonella)"
"yneI","sad(Salmonella)"
"ycfQ","comR(Salmonella)"
"holB","holB(Salmonella)"
"STM1330","STM1330(Salmonella)"
