"old_names","new_names"
"Kasugamycin","Kasugamycin"
"Gentamicin","Gentamicin"
"Apramycin","Apramycin"
"Tobramycin","Tobramycin"
"Aminoglycoside","Aminoglycoside"
"Amikacin","Amikacin"
"Kanamycin","Kanamycin"
"Quinolone","Quinolone"
"Streptomycin","Streptomycin"
"Macrolide","Macrolide"
"Azithromycin","Azithromycin"
"Efflux","Efflux"
"Beta-Lactam","Beta-Lactam"
"Spectinomycin","Spectinomycin"
"Hygromycin","Hygromycin"
"Rifamycin","Rifamycin"
"Cephalosporin","Cephalosporin"
"Carbapenem","Carbapenem"
"Bleomycin","Bleomycin"
"Chloramphenicol","Chloramphenicol"
"Lincosamide","Lincosamide"
"Streptogra","Streptogra"
"Fluoroquinolone","Fluoroquinolone"
"Trimethoprim","Trimethoprim"
"Erythromycin","Erythromycin"
"Fosfomycin","Fosfomycin"
"Colistin","Colistin"
"Phenicol","Phenicol"
"Ampicillin","Ampicillin"
"Tetracycline","Tetracycline"
"Streptothricin","Streptothricin"
"Sulfonamide","Sulfonamide"
"Tigecycline","Tigecycline"
"Vancomycin","Vancomycin"
"Streptogramin","Streptogramin"
