Subject	Predicate	Object
rtsB	represses	STM14_2791
rtsB	represses	STM14_5355
rtsB	represses	STM14_2071
rtsB	represses	STM14_0643
rtsB	represses	STM14_5356
rtsB	represses	STM14_5357
rtsB	represses	STM14_5358
rtsB	represses	STM14_5359
rtsB	represses	STM14_5360
rtsB	represses	STM14_5361
rtsB	represses	STM14_0650
rtsB	represses	STM14_1514
rtsB	represses	STM14_1803
rtsB	represses	STM14_2168
rtsB	represses	STM14_1939
rtsB	represses	STM14_5055
rtsB	represses	STM14_4725
rtsB	represses	STM14_1512
rtsB	represses	STM14_1767
rtsB	represses	STM14_4890
rtsB	represses	STM14_0740
rtsB	represses	STM14_1587
rtsB	represses	STM14_1805
rtsB	represses	STM14_3784
rtsB	represses	STM14_4531
rtsB	represses	STM14_0051
rtsB	represses	STM14_2167
rtsB	represses	STM14_3785
rtsB	represses	STM14_0902
rtsB	represses	STM14_4889
rtsB	represses	STM14_0187
rtsB	represses	STM14_3662
rtsB	represses	STM14_1564
rtsB	represses	STM14_2236
rtsB	represses	STM14_1001
rtsB	represses	STM14_2291
rtsB	represses	STM14_3319
rtsB	represses	STM14_4801
rtsB	represses	STM14_1790
rtsB	represses	STM14_1513
rtsB	represses	STM14_5414
rtsB	represses	STM14_3817
rtsB	represses	STM14_2323
rtsB	represses	STM14_5186
rtsB	represses	STM14_1243
rtsB	represses	STM14_5185
rtsB	represses	STM14_2856
rtsB	represses	STM14_3372
rtsB	represses	STM14_3700
rtsB	represses	STM14_4378
rtsB	represses	STM14_5154
rtsB	represses	STM14_5273
rtsB	represses	STM14_5413
rtsB	represses	STM14_5431
rtsB	represses	STM14_2379
rtsB	represses	STM14_0816
rtsB	represses	STM14_0819
rtsB	represses	STM14_5118
rtsB	represses	STM14_2674
rtsB	represses	STM14_2339
rtsB	represses	STM14_3340
rtsB	represses	STM14_3835
rtsB	represses	STM14_5415
rtsB	represses	STM14_4510
rtsB	represses	STM14_3121
rtsB	represses	STM14_1578
rtsB	represses	STM14_5117
rtsB	represses	STM14_3122
rtsB	represses	STM14_2951
rtsB	represses	STM14_5362
rtsB	represses	STM14_3893
rtsB	represses	STM14_3343
rtsB	represses	STM14_5545
rtsB	represses	STM14_5569
hilA	represses	STM14_1288
hilA	represses	STM14_0446
hilA	represses	STM14_2975
hilA	represses	STM14_3691
hilA	represses	STM14_4801
hilA	represses	STM14_5026
hilA	represses	STM14_2004
hilA	represses	STM14_0819
hilA	represses	STM14_0102
hilA	represses	STM14_0105
hilA	represses	STM14_0225
hilA	represses	STM14_0536
hilA	represses	STM14_0610
hilA	represses	STM14_1093
hilA	represses	STM14_1356
hilA	represses	STM14_1950
hilA	represses	STM14_2133
hilA	represses	STM14_2160
hilA	represses	STM14_2187
hilA	represses	STM14_2264
hilA	represses	STM14_2293
hilA	represses	STM14_4182
hilA	represses	STM14_4696
hilA	represses	STM14_4889
hilA	represses	STM14_4951
hilA	represses	STM14_5116
hilA	represses	STM14_5468
hilA	represses	STM14_969
hilA	represses	STM14_1001
hilA	represses	STM14_2276
hilA	represses	STM14_2834
hilA	represses	STM14_1902
hilA	represses	STM14_1978
hilA	represses	STM14_2151
hilA	represses	STM14_2856
hilA	represses	STM14_3063
hilA	represses	STM14_3197
hilA	represses	STM14_3259
hilA	represses	STM14_4497
hilA	represses	STM14_4578
hilA	represses	STM14_5063
hilA	represses	STM14_986
hilA	represses	STM14_1587
hilA	represses	STM14_3838
hilA	represses	STM14_3784
hilA	represses	STM14_0659
hilA	represses	STM14_1131
hilA	represses	STM14_3219
hilA	represses	STM14_0038
hilA	represses	STM14_0051
hilA	represses	STM14_0361
hilA	represses	STM14_0403
hilA	represses	STM14_0406
hilA	represses	STM14_0420
hilA	represses	STM14_0528
hilA	represses	STM14_0650
hilA	represses	STM14_0714
hilA	represses	STM14_0893
hilA	represses	STM14_1053
hilA	represses	STM14_1189
hilA	represses	STM14_1290
hilA	represses	STM14_1291
hilA	represses	STM14_1326
hilA	represses	STM14_1327
hilA	represses	STM14_1376
hilA	represses	STM14_1502
hilA	represses	STM14_1828
hilA	represses	STM14_1831
hilA	represses	STM14_1867
hilA	represses	STM14_1913
hilA	represses	STM14_1980
hilA	represses	STM14_1994
hilA	represses	STM14_2222
hilA	represses	STM14_2313
hilA	represses	STM14_2561
hilA	represses	STM14_2759
hilA	represses	STM14_2798
hilA	represses	STM14_2952
hilA	represses	STM14_3081
hilA	represses	STM14_3260
hilA	represses	STM14_3312
hilA	represses	STM14_3421
hilA	represses	STM14_3508
hilA	represses	STM14_3645
hilA	represses	STM14_3690
hilA	represses	STM14_3723
hilA	represses	STM14_4269
hilA	represses	STM14_4376
hilA	represses	STM14_4378
hilA	represses	STM14_4427
hilA	represses	STM14_4437
hilA	represses	STM14_4521
hilA	represses	STM14_4630
hilA	represses	STM14_4641
hilA	represses	STM14_4856
hilA	represses	STM14_4886
hilA	represses	STM14_4931
hilA	represses	STM14_4934
hilA	represses	STM14_4950
hilA	represses	STM14_4993
hilA	represses	STM14_5084
hilA	represses	STM14_5175
hilA	represses	STM14_5396
hilA	represses	STM14_5433
hilA	represses	STM14_940
hilA	represses	STM14_5532
hilA	represses	STM14_5565
sprB	represses	STM14_2854
sprB	represses	STM14_4558
sprB	represses	STM14_4950
sprB	represses	STM14_2133
sprB	represses	STM14_4951
sprB	represses	STM14_4343
sprB	represses	STM14_5413
sprB	represses	STM14_1216
sprB	represses	STM14_1289
sprB	represses	STM14_2834
sprB	represses	STM14_3341
sprB	represses	STM14_3700
sprB	represses	STM14_4167
sprB	represses	STM14_967
sprB	represses	STM14_1522
sprB	represses	STM14_0076
sprB	represses	STM14_0446
sprB	represses	STM14_0597
sprB	represses	STM14_1356
sprB	represses	STM14_1510
sprB	represses	STM14_2015
sprB	represses	STM14_2148
sprB	represses	STM14_2158
sprB	represses	STM14_2822
sprB	represses	STM14_2856
sprB	represses	STM14_2955
sprB	represses	STM14_3063
sprB	represses	STM14_3300
sprB	represses	STM14_3525
sprB	represses	STM14_3642
sprB	represses	STM14_3690
sprB	represses	STM14_3773
sprB	represses	STM14_3783
sprB	represses	STM14_3897
sprB	represses	STM14_4416
sprB	represses	STM14_5018
sprB	represses	STM14_5190
sprB	represses	STM14_5362
sprB	represses	STM14_5451
sprB	represses	STM14_5355
sprB	represses	STM14_0819
sprB	represses	STM14_0181
sprB	represses	STM14_0420
sprB	represses	STM14_5356
sprB	represses	STM14_3155
sprB	represses	STM14_5063
sprB	represses	STM14_1514
sprB	represses	STM14_1513
sprB	represses	STM14_5455
sprB	represses	STM14_3784
sprB	represses	STM14_0384
sprB	represses	STM14_0165
sprB	represses	STM14_0179
sprB	represses	STM14_0317
sprB	represses	STM14_0337
sprB	represses	STM14_0424
sprB	represses	STM14_0714
sprB	represses	STM14_1530
sprB	represses	STM14_2791
sprB	represses	STM14_3960
sprB	represses	STM14_4742
sprB	represses	STM14_5002
sprB	represses	STM14_989
sprB	represses	STM14_1587
sprB	represses	STM14_2811
sprB	represses	STM14_0816
sprB	represses	STM14_0573
sprB	represses	STM14_1479
sprB	represses	STM14_1528
sprB	represses	STM14_5401
sprB	represses	STM14_4938
sprB	represses	STM14_1167
sprB	represses	STM14_2004
sprB	represses	STM14_2671
sprB	represses	STM14_0178
sprB	represses	STM14_5357
sprB	represses	STM14_5359
sprB	represses	STM14_1261
sprB	represses	STM14_3107
sprB	represses	STM14_5452
sprB	represses	STM14_1273
sprB	represses	STM14_0051
sprB	represses	STM14_1293
sprB	represses	STM14_4801
sprB	represses	STM14_2189
sprB	represses	STM14_4562
sprB	represses	STM14_1283
sprB	represses	STM14_5360
sprB	represses	STM14_2738
sprB	represses	STM14_5449
sprB	represses	STM14_5361
sprB	represses	STM14_5358
sprB	represses	STM14_3382
sprB	represses	STM14_1849
sprB	represses	STM14_0177
sprB	represses	STM14_2881
sprB	represses	STM14_0012
sprB	represses	STM14_0019
sprB	represses	STM14_0027
sprB	represses	STM14_0314
sprB	represses	STM14_0329
sprB	represses	STM14_0331
sprB	represses	STM14_0412
sprB	represses	STM14_0843
sprB	represses	STM14_0844
sprB	represses	STM14_1034
sprB	represses	STM14_1141
sprB	represses	STM14_1147
sprB	represses	STM14_1160
sprB	represses	STM14_1169
sprB	represses	STM14_1453
sprB	represses	STM14_1557
