Subject	Predicate	Object
rtsB	represses	STM14_2791
rtsB	represses	STM14_5355
rtsB	represses	STM14_2071
rtsB	represses	STM14_0643
rtsB	represses	STM14_5356
rtsB	represses	STM14_5357
rtsB	represses	STM14_5358
rtsB	represses	STM14_5359
rtsB	represses	STM14_5360
rtsB	represses	STM14_5361
rtsB	represses	STM14_0650
rtsB	represses	STM14_1514
rtsB	represses	STM14_1803
rtsB	represses	STM14_2168
rtsB	represses	STM14_1939
rtsB	represses	STM14_5055
rtsB	represses	STM14_4725
rtsB	represses	STM14_1512
rtsB	represses	STM14_1767
rtsB	represses	STM14_4890
rtsB	represses	STM14_0740
rtsB	represses	STM14_1587
rtsB	represses	STM14_1805
rtsB	represses	STM14_3784
rtsB	represses	STM14_4531
rtsB	represses	STM14_0051
rtsB	represses	STM14_2167
rtsB	represses	STM14_3785
rtsB	represses	STM14_0902
rtsB	represses	STM14_4889
rtsB	represses	STM14_0187
rtsB	represses	STM14_3662
rtsB	represses	STM14_1564
rtsB	represses	STM14_2236
rtsB	represses	STM14_1001
rtsB	represses	STM14_2291
rtsB	represses	STM14_3319
rtsB	represses	STM14_4801
rtsB	represses	STM14_1790
rtsB	represses	STM14_1513
rtsB	represses	STM14_5414
rtsB	represses	STM14_3817
rtsB	represses	STM14_2323
rtsB	represses	STM14_5186
rtsB	represses	STM14_1243
rtsB	represses	STM14_5185
rtsB	represses	STM14_2856
rtsB	represses	STM14_3372
rtsB	represses	STM14_3700
rtsB	represses	STM14_4378
rtsB	represses	STM14_5154
rtsB	represses	STM14_5273
rtsB	represses	STM14_5413
rtsB	represses	STM14_5431
rtsB	represses	STM14_2379
rtsB	represses	STM14_0816
rtsB	represses	STM14_0819
rtsB	represses	STM14_5118
rtsB	represses	STM14_2674
rtsB	represses	STM14_2339
rtsB	represses	STM14_3340
rtsB	represses	STM14_3835
rtsB	represses	STM14_5415
rtsB	represses	STM14_4510
rtsB	represses	STM14_3121
rtsB	represses	STM14_1578
rtsB	represses	STM14_5117
rtsB	represses	STM14_3122
rtsB	represses	STM14_2951
rtsB	represses	STM14_5362
rtsB	represses	STM14_3893
rtsB	represses	STM14_3343
rtsB	represses	STM14_5545
rtsB	represses	STM14_5569
hilA(Salmonella)	represses	STM14_1288
hilA(Salmonella)	represses	STM14_0446
hilA(Salmonella)	represses	STM14_2975
hilA(Salmonella)	represses	STM14_3691
hilA(Salmonella)	represses	STM14_4801
hilA(Salmonella)	represses	STM14_5026
hilA(Salmonella)	represses	STM14_2004
hilA(Salmonella)	represses	STM14_0819
hilA(Salmonella)	represses	STM14_0102
hilA(Salmonella)	represses	STM14_0105
hilA(Salmonella)	represses	STM14_0225
hilA(Salmonella)	represses	STM14_0536
hilA(Salmonella)	represses	STM14_0610
hilA(Salmonella)	represses	STM14_1093
hilA(Salmonella)	represses	STM14_1356
hilA(Salmonella)	represses	STM14_1950
hilA(Salmonella)	represses	STM14_2133
hilA(Salmonella)	represses	STM14_2160
hilA(Salmonella)	represses	STM14_2187
hilA(Salmonella)	represses	STM14_2264
hilA(Salmonella)	represses	STM14_2293
hilA(Salmonella)	represses	STM14_4182
hilA(Salmonella)	represses	STM14_4696
hilA(Salmonella)	represses	STM14_4889
hilA(Salmonella)	represses	STM14_4951
hilA(Salmonella)	represses	STM14_5116
hilA(Salmonella)	represses	STM14_5468
hilA(Salmonella)	represses	STM14_969
hilA(Salmonella)	represses	STM14_1001
hilA(Salmonella)	represses	STM14_2276
hilA(Salmonella)	represses	STM14_2834
hilA(Salmonella)	represses	STM14_1902
hilA(Salmonella)	represses	STM14_1978
hilA(Salmonella)	represses	STM14_2151
hilA(Salmonella)	represses	STM14_2856
hilA(Salmonella)	represses	STM14_3063
hilA(Salmonella)	represses	STM14_3197
hilA(Salmonella)	represses	STM14_3259
hilA(Salmonella)	represses	STM14_4497
hilA(Salmonella)	represses	STM14_4578
hilA(Salmonella)	represses	STM14_5063
hilA(Salmonella)	represses	STM14_986
hilA(Salmonella)	represses	STM14_1587
hilA(Salmonella)	represses	STM14_3838
hilA(Salmonella)	represses	STM14_3784
hilA(Salmonella)	represses	STM14_0659
hilA(Salmonella)	represses	STM14_1131
hilA(Salmonella)	represses	STM14_3219
hilA(Salmonella)	represses	STM14_0038
hilA(Salmonella)	represses	STM14_0051
hilA(Salmonella)	represses	STM14_0361
hilA(Salmonella)	represses	STM14_0403
hilA(Salmonella)	represses	STM14_0406
hilA(Salmonella)	represses	STM14_0420
hilA(Salmonella)	represses	STM14_0528
hilA(Salmonella)	represses	STM14_0650
hilA(Salmonella)	represses	STM14_0714
hilA(Salmonella)	represses	STM14_0893
hilA(Salmonella)	represses	STM14_1053
hilA(Salmonella)	represses	STM14_1189
hilA(Salmonella)	represses	STM14_1290
hilA(Salmonella)	represses	STM14_1291
hilA(Salmonella)	represses	STM14_1326
hilA(Salmonella)	represses	STM14_1327
hilA(Salmonella)	represses	STM14_1376
hilA(Salmonella)	represses	STM14_1502
hilA(Salmonella)	represses	STM14_1828
hilA(Salmonella)	represses	STM14_1831
hilA(Salmonella)	represses	STM14_1867
hilA(Salmonella)	represses	STM14_1913
hilA(Salmonella)	represses	STM14_1980
hilA(Salmonella)	represses	STM14_1994
hilA(Salmonella)	represses	STM14_2222
hilA(Salmonella)	represses	STM14_2313
hilA(Salmonella)	represses	STM14_2561
hilA(Salmonella)	represses	STM14_2759
hilA(Salmonella)	represses	STM14_2798
hilA(Salmonella)	represses	STM14_2952
hilA(Salmonella)	represses	STM14_3081
hilA(Salmonella)	represses	STM14_3260
hilA(Salmonella)	represses	STM14_3312
hilA(Salmonella)	represses	STM14_3421
hilA(Salmonella)	represses	STM14_3508
hilA(Salmonella)	represses	STM14_3645
hilA(Salmonella)	represses	STM14_3690
hilA(Salmonella)	represses	STM14_3723
hilA(Salmonella)	represses	STM14_4269
hilA(Salmonella)	represses	STM14_4376
hilA(Salmonella)	represses	STM14_4378
hilA(Salmonella)	represses	STM14_4427
hilA(Salmonella)	represses	STM14_4437
hilA(Salmonella)	represses	STM14_4521
hilA(Salmonella)	represses	STM14_4630
hilA(Salmonella)	represses	STM14_4641
hilA(Salmonella)	represses	STM14_4856
hilA(Salmonella)	represses	STM14_4886
hilA(Salmonella)	represses	STM14_4931
hilA(Salmonella)	represses	STM14_4934
hilA(Salmonella)	represses	STM14_4950
hilA(Salmonella)	represses	STM14_4993
hilA(Salmonella)	represses	STM14_5084
hilA(Salmonella)	represses	STM14_5175
hilA(Salmonella)	represses	STM14_5396
hilA(Salmonella)	represses	STM14_5433
hilA(Salmonella)	represses	STM14_940
hilA(Salmonella)	represses	STM14_5532
hilA(Salmonella)	represses	STM14_5565
sprB(Salmonella)	represses	STM14_2854
sprB(Salmonella)	represses	STM14_4558
sprB(Salmonella)	represses	STM14_4950
sprB(Salmonella)	represses	STM14_2133
sprB(Salmonella)	represses	STM14_4951
sprB(Salmonella)	represses	STM14_4343
sprB(Salmonella)	represses	STM14_5413
sprB(Salmonella)	represses	STM14_1216
sprB(Salmonella)	represses	STM14_1289
sprB(Salmonella)	represses	STM14_2834
sprB(Salmonella)	represses	STM14_3341
sprB(Salmonella)	represses	STM14_3700
sprB(Salmonella)	represses	STM14_4167
sprB(Salmonella)	represses	STM14_967
sprB(Salmonella)	represses	STM14_1522
sprB(Salmonella)	represses	STM14_0076
sprB(Salmonella)	represses	STM14_0446
sprB(Salmonella)	represses	STM14_0597
sprB(Salmonella)	represses	STM14_1356
sprB(Salmonella)	represses	STM14_1510
sprB(Salmonella)	represses	STM14_2015
sprB(Salmonella)	represses	STM14_2148
sprB(Salmonella)	represses	STM14_2158
sprB(Salmonella)	represses	STM14_2822
sprB(Salmonella)	represses	STM14_2856
sprB(Salmonella)	represses	STM14_2955
sprB(Salmonella)	represses	STM14_3063
sprB(Salmonella)	represses	STM14_3300
sprB(Salmonella)	represses	STM14_3525
sprB(Salmonella)	represses	STM14_3642
sprB(Salmonella)	represses	STM14_3690
sprB(Salmonella)	represses	STM14_3773
sprB(Salmonella)	represses	STM14_3783
sprB(Salmonella)	represses	STM14_3897
sprB(Salmonella)	represses	STM14_4416
sprB(Salmonella)	represses	STM14_5018
sprB(Salmonella)	represses	STM14_5190
sprB(Salmonella)	represses	STM14_5362
sprB(Salmonella)	represses	STM14_5451
