Subject	Predicate	Object
aac(2')-IIa	confers resistance to antibiotic	Kasugamycin
aac(3)	confers resistance to antibiotic	Gentamicin
aac(3)-I	confers resistance to antibiotic	Gentamicin
aac(3)-II	confers resistance to antibiotic	Gentamicin
aac(3)-IIa	confers resistance to antibiotic	Gentamicin
aac(3)-IId	confers resistance to antibiotic	Gentamicin
aac(3)-IIe	confers resistance to antibiotic	Gentamicin
aac(3)-IIg	confers resistance to antibiotic	Gentamicin
aac(3)-IV	confers resistance to antibiotic	Gentamicin
aac(3)-IVa	confers resistance to antibiotic	Apramycin
aac(3)-VIa	confers resistance to antibiotic	Gentamicin
aac(3)-VIa	confers resistance to antibiotic	Tobramycin
aac(6')	confers resistance to antibiotic	Aminoglycoside
aac(6')-33	confers resistance to antibiotic	Aminoglycoside
aac(6')-Ib-cr	confers resistance to antibiotic	Amikacin
aac(6')-Ib-cr	confers resistance to antibiotic	Kanamycin
aac(6')-Ib-cr4	confers resistance to antibiotic	Tobramycin
aac(6')-Ib-cr4	confers resistance to antibiotic	Quinolone
aac(6')-Ib-cr4	confers resistance to antibiotic	Amikacin
aac(6')-Ib-cr5	confers resistance to antibiotic	Kanamycin
aac(6')-Ib-cr5	confers resistance to antibiotic	Tobramycin
aac(6')-Ib-cr5	confers resistance to antibiotic	Quinolone
aac(6')-Ib-cr5	confers resistance to antibiotic	Amikacin
aac(6')-Ib3	confers resistance to antibiotic	Amikacin
aac(6')-Ib3	confers resistance to antibiotic	Kanamycin
aac(6')-Ib3	confers resistance to antibiotic	Tobramycin
aac(6')-Ib4	confers resistance to antibiotic	Aminoglycoside
aac(6')-Ie	confers resistance to antibiotic	Amikacin
aac(6')-Ie	confers resistance to antibiotic	Kanamycin
aac(6')-Ie	confers resistance to antibiotic	Tobramycin
aac(6')-IIa	confers resistance to antibiotic	Gentamicin
aac(6')-IIa	confers resistance to antibiotic	Kanamycin
aac(6')-IIa	confers resistance to antibiotic	Tobramycin
aac(6')-IIc	confers resistance to antibiotic	Kanamycin
aac(6')-IIc	confers resistance to antibiotic	Tobramycin
aac(6')-Il	confers resistance to antibiotic	Amikacin
aac(6')-Il	confers resistance to antibiotic	Kanamycin
