"old_names","new_names"
"aac(2')-IIa","aac(2')-IIa"
"aac(3)","aac(3)"
"aac(3)-I","aac(3)-I"
"aac(3)-II","aac(3)-II"
"aac(3)-IIa","aac(3)-IIa"
"aac(3)-IId","aac(3)-IId"
"aac(3)-IIe","aac(3)-IIe"
"aac(3)-IIg","aac(3)-IIg"
"aac(3)-IV","aac(3)-IV"
"aac(3)-IVa","aac(3)-IVa"
"aac(3)-VIa","aac(3)-VIa"
"aac(6')","aac(6')"
"aac(6')-33","aac(6')-33"
"aac(6')-Ib-cr","aac(6')-Ib-cr"
"aac(6')-Ib-cr4","aac(6')-Ib-cr4"
"aac(6')-Ib-cr5","aac(6')-Ib-cr5"
"aac(6')-Ib3","aac(6')-Ib3"
"aac(6')-Ib4","aac(6')-Ib4"
"aac(6')-Ie","aac(6')-Ie"
"aac(6')-IIa","aac(6')-IIa"
"aac(6')-IIc","aac(6')-IIc"
"aac(6')-Il","aac(6')-Il"
"aac(6')-Im","aac(6')-Im"
"aacA34","aacA34"
"aacA38","aacA38"
"aacA56","aacA56"
"aacA57","aacA57"
"aad9","aad9"
"aadA1","aadA1"
"aadA11","aadA11"
"aadA12","aadA12"
"aadA13","aadA13"
"aadA15","aadA15"
"aadA16","aadA16"
"aadA2","aadA2"
"aadA22","aadA22"
"aadA25","aadA25"
"aadA3","aadA3"
"aadA31","aadA31"
"aadA4","aadA4"
"aadA5","aadA5"
"aadA6","aadA6"
"aadA7","aadA7"
"aadA8","aadA8"
"aadD1","aadD1"
"aadD2","aadD2"
"aadE","aadE"
"abc-f","abc-f"
"acrB","acrB"
"acrF","acrF"
"ampC","ampC"
"ant(2'')-Ia","ant(2'')-Ia"
"ant(3'')","ant(3'')"
"ant(3'')-Ia","ant(3'')-Ia"
"ant(6)-Ia","ant(6)-Ia"
"aph(2'')-I","aph(2'')-I"
"aph(2'')-Ia","aph(2'')-Ia"
"aph(2'')-IIa","aph(2'')-IIa"
"aph(3'')","aph(3'')"
"aph(3'')-Ib","aph(3'')-Ib"
"aph(3')-Ia","aph(3')-Ia"
"aph(3')-Id","aph(3')-Id"
"aph(3')-II","aph(3')-II"
"aph(3')-IIa","aph(3')-IIa"
"aph(3')-IIIa","aph(3')-IIIa"
"aph(3')-VI","aph(3')-VI"
"aph(3')-VIa","aph(3')-VIa"
"aph(4)-Ia","aph(4)-Ia"
"aph(6)-Ic","aph(6)-Ic"
"aph(6)-Id","aph(6)-Id"
"aphA16","aphA16"
"aphA17","aphA17"
"armA","armA"
"arr","arr"
"arr-2","arr-2"
"arr-3","arr-3"
"bla","bla"
"blaA","blaA"
"blaACC","blaACC"
"blaACC-1","blaACC-1"
"blaACT","blaACT"
"blaACT-84","blaACT-84"
"blaBPU","blaBPU"
"blaCARB","blaCARB"
"blaCMY","blaCMY"
"blaCTX-M","blaCTX-M"
"blaDHA","blaDHA"
"blaEC","blaEC"
"blaFOX","blaFOX"
"blaHER","blaHER"
"blaI","blaI"
"blaKLUC","blaKLUC"
"blaKPC","blaKPC"
"blaLAP","blaLAP"
"blaNDM","blaNDM"
"blaOXA","blaOXA"
"blaOXY","blaOXY"
"blaPSE","blaPSE"
"blaR1","blaR1"
"blaSCO","blaSCO"
"blaSHV","blaSHV"
"blaTEM","blaTEM"
"blaVEB","blaVEB"
"blaVIM","blaVIM"
"blaZ","blaZ"
"ble","ble"
"bleO","bleO"
"catA","catA"
"catA1","catA1"
"catA13","catA13"
"catA2","catA2"
"catA3","catA3"
"catB","catB"
"catB11","catB11"
"catB2","ptsG"
"catB3","catB3"
"cfr","cfr"
"cfxA","cfxA"
"cmlA","mdfA"
"cmlA1","cmlA1"
"cmlA4","cmlA4"
"cmlA5","cmlA5"
"cmlA6","cmlA6"
"cmx","cmx"
"crpP","crpP"
"dfr7","dfr7"
"dfrA","dfrA"
"dfrA1","dfrA1"
"dfrA10","dfrA10"
"dfrA12","dfrA12"
"dfrA14","dfrA14"
"dfrA15","dfrA15"
"dfrA16","dfrA16"
"dfrA17","dfrA17"
"dfrA19","dfrA19"
"dfrA21","dfrA21"
"dfrA23","dfrA23"
"dfrA25","dfrA25"
"dfrA27","dfrA27"
"dfrA29","dfrA29"
"dfrA31","dfrA31"
"dfrA32","dfrA32"
"dfrA34","dfrA34"
"dfrA36","dfrA36"
"dfrA5","dfrA5"
"dfrA7","dfrA7"
"dfrA8","dfrA8"
"dfrB1","dfrB1"
"dfrB3","dfrB3"
"dfrB4","dfrB4"
"dfrB5","dfrB5"
"dfrF","dfrF"
"dfrI","dfrI"
"emrD","emrD"
"ereA","ereA"
"ereD","ereD"
"erm","erm"
"fexA","arcA"
"floR","floR"
"floR2","floR2"
"fos","fos"
"fosA","fosA"
"fosA3","fosA3"
"fosA4","fosA4"
"fosA7","fosA7"
"fosA8","fosA8"
"fosL","fosL"
"fosL1","fosL1"
"fosL2","fosL2"
"fosX","fosX"
"gar","gar"
"grdA","grdA"
"gyrA","gyrA"
"gyrB","gyrB"
"lin","lin"
"lnuA","lnuA"
"lnuC","lnuC"
"lnuF","lnuF"
"lnuG","lnuG"
"mcr-1","mcr-1"
"mcr-3","mcr-3"
"mcr-4","mcr-4"
"mcr-5","mcr-5"
"mcr-9","mcr-9"
"mdsA","mdsA"
"mdsB","mdsB"
"mdtM","mdtM"
"mefB","mefB"
"mefC","mefC"
"mph","mph"
"mphA","mphA"
"mphB","mphB"
"mphE","mphE"
"msrE","msrE"
"oqxA","oqxA"
"oqxA2","oqxA2"
"oqxB","oqxB"
"oqxB2","oqxB2"
"parC","parC"
"parE","parE"
"pmrA","pmrA"
"pmrB","basS"
"qepA","qepA"
"qepA1","qepA1"
"qepA2","qepA2"
"qepA4","qepA4"
"qepA8","qepA8"
"qnrA","qnrA"
"qnrA1","qnrA1"
"qnrA3","qnrA3"
"qnrB","qnrB"
"qnrB1","qnrB1"
"qnrB17","qnrB17"
"qnrB19","qnrB19"
"qnrB2","qnrB2"
"qnrB38","qnrB38"
"qnrB4","qnrB4"
"qnrB6","qnrB6"
"qnrB7","qnrB7"
"qnrB77","qnrB77"
"qnrB9","qnrB9"
"qnrB91","qnrB91"
"qnrD","qnrD"
"qnrD1","qnrD1"
"qnrD2","qnrD2"
"qnrE1","qnrE1"
"qnrE2","qnrE2"
"qnrS","qnrS"
"qnrS1","qnrS1"
"qnrS11","qnrS11"
"qnrS13","qnrS13"
"qnrS2","qnrS2"
"qnrS4","qnrS4"
"qnrVC","qnrVC"
"qnrVC1","qnrVC1"
"qnrVC4","qnrVC4"
"qnrVC5","qnrVC5"
"ramR","ramR"
"rmtB","rmtB"
"rmtB1","rmtB1"
"rmtE1","rmtE1"
"sat2","sat2"
"sat4","sat4"
"soxR","soxR"
"sul1","sul1"
"sul2","sul2"
"sul3","sul3"
"sul4","sul4"
"tet","tet"
"tetA","tetA"
"tetB","tetB"
"tetC","tetC"
"tetD","tetD"
"tetE","tetE"
"tetG","tetG"
"tetH","tetH"
"tetJ","tetJ"
"tetM","tetM"
"tetO","tetO"
"tetW","tetW"
"tetX_2","tetX_2"
"tetX_4","tetX_4"
"tetX_5","tetX_5"
"tetX_6","tetX_6"
"tetY","tetY"
"vanC","vanC"
"vat","vat"
