"old_names","new_names"
"STM14_2791","STM14_2791"
"STM14_5355","STM14_5355"
"STM14_2071","STM14_2071"
"STM14_0643","STM14_0643"
"STM14_5356","STM14_5356"
"STM14_5357","STM14_5357"
"STM14_5358","STM14_5358"
"STM14_5359","STM14_5359"
"STM14_5360","STM14_5360"
"STM14_5361","STM14_5361"
"STM14_0650","STM14_0650"
"STM14_1514","STM14_1514"
"STM14_1803","STM14_1803"
"STM14_2168","STM14_2168"
"STM14_1939","STM14_1939"
"STM14_5055","STM14_5055"
"STM14_4725","STM14_4725"
"STM14_1512","STM14_1512"
"STM14_1767","STM14_1767"
"STM14_4890","STM14_4890"
"STM14_0740","STM14_0740"
"STM14_1587","STM14_1587"
"STM14_1805","STM14_1805"
"STM14_3784","STM14_3784"
"STM14_4531","STM14_4531"
"STM14_0051","STM14_0051"
"STM14_2167","STM14_2167"
"STM14_3785","STM14_3785"
"STM14_0902","STM14_0902"
"STM14_4889","STM14_4889"
"STM14_0187","STM14_0187"
"STM14_3662","STM14_3662"
"STM14_1564","STM14_1564"
"STM14_2236","STM14_2236"
"STM14_1001","STM14_1001"
"STM14_2291","STM14_2291"
"STM14_3319","STM14_3319"
"STM14_4801","STM14_4801"
"STM14_1790","STM14_1790"
"STM14_1513","STM14_1513"
"STM14_5414","STM14_5414"
"STM14_3817","STM14_3817"
"STM14_2323","STM14_2323"
"STM14_5186","STM14_5186"
"STM14_1243","STM14_1243"
"STM14_5185","STM14_5185"
"STM14_2856","STM14_2856"
"STM14_3372","STM14_3372"
"STM14_3700","STM14_3700"
"STM14_4378","STM14_4378"
"STM14_5154","STM14_5154"
"STM14_5273","STM14_5273"
"STM14_5413","STM14_5413"
"STM14_5431","STM14_5431"
"STM14_2379","STM14_2379"
"STM14_0816","STM14_0816"
"STM14_0819","STM14_0819"
"STM14_5118","STM14_5118"
"STM14_2674","STM14_2674"
"STM14_2339","STM14_2339"
"STM14_3340","STM14_3340"
"STM14_3835","STM14_3835"
"STM14_5415","STM14_5415"
"STM14_4510","STM14_4510"
"STM14_3121","STM14_3121"
"STM14_1578","STM14_1578"
"STM14_5117","STM14_5117"
"STM14_3122","STM14_3122"
"STM14_2951","STM14_2951"
"STM14_5362","STM14_5362"
"STM14_3893","STM14_3893"
"STM14_3343","STM14_3343"
"STM14_5545","STM14_5545"
"STM14_5569","STM14_5569"
"STM14_1288","STM14_1288"
"STM14_0446","STM14_0446"
"STM14_2975","STM14_2975"
"STM14_3691","STM14_3691"
"STM14_5026","STM14_5026"
"STM14_2004","STM14_2004"
"STM14_0102","STM14_0102"
"STM14_0105","STM14_0105"
"STM14_0225","STM14_0225"
"STM14_0536","STM14_0536"
"STM14_0610","STM14_0610"
"STM14_1093","STM14_1093"
"STM14_1356","STM14_1356"
"STM14_1950","STM14_1950"
"STM14_2133","STM14_2133"
"STM14_2160","STM14_2160"
"STM14_2187","STM14_2187"
"STM14_2264","STM14_2264"
"STM14_2293","STM14_2293"
"STM14_4182","STM14_4182"
"STM14_4696","STM14_4696"
"STM14_4951","STM14_4951"
"STM14_5116","STM14_5116"
"STM14_5468","STM14_5468"
"STM14_969","STM14_969"
"STM14_2276","STM14_2276"
"STM14_2834","STM14_2834"
"STM14_1902","STM14_1902"
"STM14_1978","STM14_1978"
"STM14_2151","STM14_2151"
"STM14_3063","STM14_3063"
"STM14_3197","STM14_3197"
"STM14_3259","STM14_3259"
"STM14_4497","STM14_4497"
"STM14_4578","STM14_4578"
"STM14_5063","STM14_5063"
"STM14_986","STM14_986"
"STM14_3838","STM14_3838"
"STM14_0659","STM14_0659"
"STM14_1131","STM14_1131"
"STM14_3219","STM14_3219"
"STM14_0038","STM14_0038"
"STM14_0361","STM14_0361"
"STM14_0403","STM14_0403"
"STM14_0406","STM14_0406"
"STM14_0420","STM14_0420"
"STM14_0528","STM14_0528"
"STM14_0714","STM14_0714"
"STM14_0893","STM14_0893"
"STM14_1053","STM14_1053"
"STM14_1189","STM14_1189"
"STM14_1290","STM14_1290"
"STM14_1291","STM14_1291"
"STM14_1326","STM14_1326"
"STM14_1327","STM14_1327"
"STM14_1376","STM14_1376"
"STM14_1502","STM14_1502"
"STM14_1828","STM14_1828"
"STM14_1831","STM14_1831"
"STM14_1867","STM14_1867"
"STM14_1913","STM14_1913"
"STM14_1980","STM14_1980"
"STM14_1994","STM14_1994"
"STM14_2222","STM14_2222"
"STM14_2313","STM14_2313"
"STM14_2561","STM14_2561"
"STM14_2759","STM14_2759"
"STM14_2798","STM14_2798"
"STM14_2952","STM14_2952"
"STM14_3081","STM14_3081"
"STM14_3260","STM14_3260"
"STM14_3312","STM14_3312"
"STM14_3421","STM14_3421"
"STM14_3508","STM14_3508"
"STM14_3645","STM14_3645"
"STM14_3690","STM14_3690"
"STM14_3723","STM14_3723"
"STM14_4269","STM14_4269"
"STM14_4376","STM14_4376"
"STM14_4427","STM14_4427"
"STM14_4437","STM14_4437"
"STM14_4521","STM14_4521"
"STM14_4630","STM14_4630"
"STM14_4641","STM14_4641"
