type	name
gene	aac3-Iid
gene	STM3632
gene	yjeM
gene	cdd
gene	STM0280
gene	entC
gene	STM1529
gene	yojL
gene	nikR
gene	STM2668
gene	iprA
gene	traI
gene	ftsE
gene	STM2235
gene	ramR
gene	scsB
gene	cobS
gene	tatC
gene	aac(6')-Ib
gene	STM0279
gene	dfrA16
gene	frwC
gene	STM4260
gene	zapD
gene	mdtM
gene	ymfB
gene	diaA
gene	STM0291
gene	STM0720
gene	rnpA
gene	yedJ
gene	napG
gene	yacC
gene	STM2757
gene	gltK
gene	yojI
gene	STM4214
gene	STM2765
gene	STM0305
gene	stbD
gene	lnu(F)
gene	rtcB
gene	STM4030
gene	psiB
gene	murQ
gene	ansB
gene	aac3-IIa
gene	STM3388
gene	lepA
gene	blaACC-1
gene	lldR
gene	umuD
gene	STM4494
gene	ybhT
gene	dmsD
gene	yedE
gene	STM0017
gene	yejG
gene	mdaA
gene	STM1260
gene	rfaY
gene	yncD
gene	yicE
gene	glpC
gene	tetE
gene	STM4010
gene	yedF
gene	fdhF
gene	rbn
gene	uhpA
gene	STM4445
gene	qnrS
gene	lnuG
gene	idnR
gene	dpaL
gene	dsdC
gene	glnS
gene	STM1036
gene	mkaC
gene	gltA
gene	aspA
gene	yhhM
gene	fba
gene	hisS
gene	penA
gene	thiB
gene	sopE
gene	dnaJ
gene	yceI
gene	pssA
gene	tetB
gene	rplD
gene	STM2786
gene	yaiY
gene	alkA
gene	STM2632
gene	acrE
gene	gabP
gene	ileS
gene	pgtC
gene	ycaJ
gene	allB
gene	accD
gene	dsbE1
gene	cysS
gene	sbmA
gene	rfbE
gene	sapA
gene	ytfK
gene	STM2751
gene	yhcN
gene	lpfD
gene	coaD
gene	mdfA
gene	STM1664
gene	kdpB
gene	STM1618
gene	ybiR
gene	tnpA1
gene	fixA
gene	mglA
gene	ybjL
gene	yjjW
gene	STM1870
gene	nudC
gene	MCR-3.2
gene	thiC
gene	speF
gene	fliG
gene	upp
gene	qnrB1
gene	lsrC
gene	yiiM
gene	STM2566
gene	STM1600
gene	yedP
gene	glyA
gene	STM3785
gene	STM3678
gene	tas
gene	sptP
gene	rplV
gene	metL
gene	maeA
gene	dtpD
gene	rpsM
gene	STM3846
gene	gmhA
gene	STM1029
gene	pgm
gene	yegW
gene	STM1536
gene	pabA
gene	SL3721
gene	stdA
gene	ompA
gene	nanT
gene	dfrA19
gene	corA
gene	moaB
gene	proA
gene	yjjU
gene	eutH
gene	ssaV
gene	parE
gene	STM1827
gene	STM4418
gene	xapA
gene	pyrC
gene	ereA2
gene	ynaI
gene	frdB
gene	yneI
gene	acnB
gene	artM
gene	bamA
gene	STM2608
gene	ravA
gene	yajI
gene	hypE
gene	iroN
gene	fliT
gene	livJ
gene	pepA
gene	STM2713
gene	hisD
gene	menD
gene	iraD
gene	yrbA
gene	lipA
gene	hslO
gene	macB
gene	yifE
gene	ptr
gene	yaeR
gene	STM2534
gene	gloA
gene	thiL
gene	yqjG
gene	lptE
gene	STM2722
gene	STM3858
gene	yfeZ
gene	idi
gene	garL
gene	trbD
gene	sadB
gene	ackA
gene	STM0909
gene	STMD1.46
gene	ycaP
gene	yfbT
gene	STM2709
gene	asrA
gene	STM2492
gene	gyrB
gene	rfbG
gene	sufB
gene	yfjD
gene	yhbN
gene	rsxD
gene	uhpB
gene	fusA
gene	aph(3')-IIIa
gene	rpsO
gene	nupC
gene	QnrB19
gene	mioC
gene	catP
gene	yfcF
gene	pykA
gene	cbiF
gene	STM1858
gene	dfrI
gene	STM2233
gene	STM4306
gene	scsD
gene	yhdT
gene	STM0159
gene	kdsB
gene	STM0912
gene	ymdA
gene	nlp
gene	STM1911
gene	STM4210
gene	ilvB
gene	sbmC
gene	tdcE
gene	ybbM
gene	finO
gene	aacA57
gene	mdtG
gene	ybiP
gene	livM
gene	ygjP
gene	rsxB
gene	frdA
gene	pduF
gene	ygiK
gene	sufA
gene	ycgB
gene	STM0886
gene	traQ
gene	helD
gene	rfaG
gene	ydiD
gene	STM0901
gene	lysR
gene	STM1026
gene	lon
gene	groS
gene	nrdA
gene	rplB
gene	yraM
gene	yabK
gene	mltB
gene	ygbL
gene	cyoA
gene	rlmC
gene	STM2507
gene	abrB
gene	adiC
gene	gsp
gene	STM0971
gene	uspC
gene	yeaJ
gene	ParE
gene	fliL
gene	STMF1.42
gene	eutB
gene	malT
gene	yibD
gene	sspB
gene	qacH
gene	STM2797
gene	fadH
gene	rplF
gene	araB
gene	yrfG
gene	rhuM
gene	glgB
gene	STM0329
gene	leuA
gene	srmB
gene	pepT
