Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
aas	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('aas', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
aceA	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('aceA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
acrF	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('acrF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
adhE	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('adhE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
adk	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('adk', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
amn	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('amn', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
araC	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('araC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
araH	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('araH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
argA	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('argA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
argD	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('argD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
barA	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('barA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
basR	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('basR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
bigA	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('bigA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
btuF	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('btuF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
cadC	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('cadC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
caiB	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('caiB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
caiE	is mutated by antibiotic	Streptomycin	0.2496323990	1	Salm	2	0.2496323990	0.0000000000	[(('caiE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]
