type	name
gene	ydiE
gene	priB
gene	rnpA
gene	citF
gene	kefB
gene	ant(3'')-Ia
gene	STM2342
gene	ompX
gene	zntR
gene	stbC
gene	ydiB
gene	STM0355
gene	STM14_2710
gene	comR
gene	ulaA
gene	STM3940
gene	STM14_1923
gene	STM1127
gene	rpoE
gene	STM0347
gene	STM1786
gene	STM14_3153
gene	STM2288
gene	STM0948
gene	STM2592
gene	bolA
gene	tehB
gene	ompF
gene	rne
gene	STM14_2823
gene	STM4448
gene	sucC
gene	yciW
gene	rhtA
gene	rrfG
gene	udp
gene	glpG
gene	lnt
gene	ssaU
gene	STM14_2133
gene	malF
gene	tsgA
gene	ppiA
gene	hilA
gene	rrlA
gene	yjhP
gene	nfsA
gene	STM0050
gene	STM4444
gene	fsaA
gene	STM2357
gene	aas
gene	dapD
gene	rpoB
gene	maeB
gene	STM2195
gene	ybbL
gene	blaPSE
gene	STM14_3785
gene	STM1657
gene	ycaR
gene	STM14_4658
gene	rhaD
gene	STM1668
gene	lpfB
gene	t2964
gene	mdsA
gene	vapB
gene	clsB
gene	yfcZ
gene	rbsD
gene	STM0989
gene	yjfL
gene	STM2596
gene	ugd
gene	yhjK
gene	plaP
gene	lpcA
gene	bamD
gene	yciS
gene	STM2812
gene	rcnA
gene	blaTEM-131
gene	STM2280
gene	yihI
gene	rpoH
gene	spaS
gene	STM2751
gene	tetA
gene	aac(6')-I30
gene	STM0919
gene	waaU
gene	cysG
gene	STM2740
gene	STM2603
gene	lsrK
gene	ybbN
gene	STM14_2651
gene	STM0082
gene	STM2816
gene	STM14_1961
gene	STM14_3798
gene	STM3192
gene	STM1035
gene	ulaR
gene	ybdD
gene	ahpF
gene	fadD
gene	STM14_2674
gene	yifE
gene	STM14_0012
gene	arcC
gene	STM2745
gene	aph(2'')-I
gene	ydhL
gene	hepA
gene	STM2406
gene	malS
gene	ybiP
gene	pyrC
gene	rpsU
gene	argH
gene	clpS
gene	STM14_5117
gene	dsdA
gene	hcr
gene	pagN
gene	glpB
gene	mgtA
gene	mph(A)
gene	pth
gene	STM14_2445
gene	STM14_4950
gene	cat2
gene	STM2530
gene	ytfG
gene	hypT
gene	steB
gene	STM1785
gene	carA
gene	dfr7
gene	creD
gene	pduS
gene	ulaA_3
gene	aac(2')-IIa
gene	ybeF
gene	STM2590
gene	pbpG
gene	blaDHA-9
gene	vsr
gene	yjjN
gene	artP
gene	STM3355
gene	yciH
gene	yeaC
gene	sseJ
gene	STM1653
gene	orf242
gene	dgoD
gene	sctN1
gene	yifK
gene	sodC1
gene	aph3
gene	STM2373
gene	yiaG
gene	metN1
gene	yqgB
gene	minC
gene	STM1498
gene	murD
gene	STM14_0424
gene	STM14_0323
gene	yjbE
gene	acpS
gene	stdA
gene	PSLT033
gene	yhjE
gene	STM1027
gene	STM2006
gene	fieF
gene	bdm
gene	aacA38
gene	dfrA8
gene	STM4206
gene	yegS
gene	yajC
gene	ppiB
gene	dfr1
gene	cigR
gene	catB3
gene	cyoC
gene	rnt
gene	serW
gene	pheV
gene	argS
gene	t3146
gene	nhaR
gene	yliI
gene	STM14_0339
gene	atl
gene	sopD2
gene	phoE
gene	STM3125
gene	uspF
gene	STM14_0573
gene	citE
gene	STM1792
gene	dpiB
gene	narQ
gene	yajL
gene	hycE
gene	asnT_1
gene	ymdF
gene	aac(6')-Ib-cr4
gene	ysaA
gene	yhjJ
gene	STM14_5299
gene	STM0332
gene	bcp
gene	STM14_1390
gene	glgB
gene	STM2608
gene	STM0381
gene	yadI
gene	dinI
gene	cysI
gene	psd
gene	misL
gene	ytjC
gene	STM0341
gene	stiC
gene	aadA7
gene	yojI
gene	cydX
gene	waaH
gene	STM0305
gene	tsx
gene	epmB
gene	fhlA
gene	mutH
gene	STM14_3220
gene	macA
gene	purF
gene	mlaF
gene	pykF
gene	lpoA
gene	pdxA
gene	STM14_2475
gene	yoaB
gene	STM14_1964
gene	igaA
gene	fucO
gene	STM1031
gene	ssb
gene	waaG
gene	STM0718
gene	STM14_3665
gene	zraS
gene	rRNA
gene	yhaJ
gene	grxA
gene	yoaH
gene	STM14_2215
gene	CRP
gene	ilvC
gene	STM14_2254
gene	ybdH
gene	trpD
gene	ygdQ
gene	STM3082
gene	STM14_2298
gene	STM0334
gene	yhcM
gene	thiH
gene	ynfC
gene	STM14_4875
gene	STM4551
gene	yohD
gene	yncD
gene	rimI
gene	fdnG
gene	ygaC
gene	STM4052
gene	metE
gene	ilvL
gene	gatR_1
gene	yacH
gene	"ant(3"")-Ia"
gene	STM14_3304
gene	STM3773
gene	dipZ
gene	yfeA
gene	STM14_0398
gene	lrhA
gene	catB11
gene	gatY_1
gene	eutG
gene	ppk
gene	STM2742
gene	STM14_5516
gene	STM4518
gene	STM14_4886
gene	STM3791
gene	STM14_1326
gene	sgbE
gene	cyaA
gene	yeeY
gene	pduB
gene	mcpF
gene	sctL1
gene	cyoB
gene	cspA
gene	tsf
gene	yjcE
gene	STM1256
gene	upp
gene	blaCTX-M-32
gene	spaO
gene	STM0580
gene	ihfA
gene	ssaB
gene	envR
gene	hslJ
gene	ppc
gene	exbB
gene	STM0155
gene	STM1259
gene	dfrB5
gene	yicJ
gene	panF
gene	nxiA
gene	creA
gene	STM14_2955
gene	aac(3)-II
gene	dfrI
gene	STM14_2424
gene	mcr-9.2
gene	yfcH
gene	nagC
gene	STM3779
gene	STM4534
gene	pgtA
gene	ychE
gene	mdtC
gene	STM14_939
gene	ydcR
gene	STM2242
gene	alaX
gene	STM14_5186
gene	orf245
gene	argW
gene	ssaS
gene	STM4495
gene	degQ
gene	STM14_1244
gene	STM14_1507
gene	ttcA
gene	STM14_3398
gene	sinH
gene	STM2702
gene	sohB
gene	mdh
gene	ytfP
gene	STM1541
gene	yhjY
gene	STM1548
gene	aroA
gene	STM4261
gene	pipD
gene	dfrA15b
gene	lnu(G)
gene	STM1253
gene	dbpA
gene	STM3549
gene	rluE
gene	STM4267
gene	hemA
gene	STM4257
gene	slyD
gene	ycaL
gene	yeaM
gene	yceB
gene	STM1677
gene	yfdH
gene	rpsO
gene	minD
gene	PSLT042
gene	spvD
gene	rsxB
gene	sctC1
gene	aadB
gene	ftsY
gene	STM14_4376
gene	yidA
gene	rbsR
gene	cmlA6
gene	caiT
gene	aroG
gene	fliB
gene	glpK
gene	aac(3)-IIa
gene	aadA1b
gene	traS
gene	pncB
gene	STM14_4582
gene	STM14_1131
gene	ftsK
gene	STM14_1198
gene	STM14_0628
gene	aadA22
gene	STM14_5414
gene	STM14_1196
gene	smpB
gene	STM14_4992
gene	sad
gene	STM14_2856
gene	trg
gene	slyX
gene	ereA
gene	STM14_1235
gene	pgtP
gene	yhcH
gene	kdgT2
gene	STM3198
gene	cypD
gene	STM2597
gene	yajO
gene	STM4432
gene	yggX
gene	invC
gene	phoP
gene	dapB
gene	blaCTX-M-56
gene	STM14_5121
gene	yihD
gene	dhfrI
gene	fdnI
gene	STM14_1118
gene	STM14_5063
gene	fliM
gene	rtcA
gene	hfq
gene	fruA
gene	STM14_1950
gene	STM1827
gene	feoC
gene	pipA
gene	STM2922
gene	aac(6)-31
gene	STM14_3100
gene	obgE
gene	ulaD
gene	STM4306
gene	ypfG
gene	mcr-1
gene	STM3122
gene	mdoB
gene	STM14_3817
gene	STM0274
gene	MCR-3.2
gene	STM2598
gene	panS
gene	gloA
gene	STM14_3230
gene	STM14_4562
gene	STM14_1161
gene	STM1539
gene	gntK
gene	trmH
gene	orgB
gene	vanB2
gene	STM4445
gene	STM3784
gene	yacL
gene	lsrF
gene	pduD
gene	STM0538
gene	ddl_2
gene	narY
gene	macB
gene	aph(300)-lb
gene	STM14_1602
gene	yfaE
gene	hisH
gene	rcsF
gene	leuD2
gene	STM14_0178
gene	STMD1.48
gene	pepQ
gene	aac(60)-Iaa
gene	STM4571
gene	STM4519
gene	csiR
gene	gcvR
gene	tldD
gene	leuA
gene	tet(D)
gene	iadA
gene	tet(Y)
gene	STM2532
gene	STM0855
gene	ant(6)-Ia
gene	fimW
gene	linG
gene	secB
gene	STM4242
gene	yjjW
gene	STM14_2473
gene	ilvH
gene	araD
gene	tusD
gene	leuQ
gene	yfbR
gene	STM3138
gene	yhjH
gene	STM14_3319
gene	STM0900
gene	STM14_1786
gene	otnK
gene	yrdD
gene	leuX
gene	waaK
gene	ldcC
gene	fliE
gene	STM2741
gene	cml
gene	STM14_3331
gene	nei
gene	yjbR
gene	epmA
gene	t2427
gene	glnP
gene	ampE
gene	STM1793
gene	ribD
gene	deaD
gene	STM2716
gene	STM2503
gene	manY
gene	fliN
gene	STM14_3872
gene	azoR
gene	cmlA5
gene	cysD
gene	aph(3')-IIa
gene	kefC
gene	STM0726
gene	argC
gene	STM14_3693
gene	thiS
gene	STM1529
gene	cbiP
gene	blaCTX-M-12
gene	yaiE
gene	STM14_1980
gene	ygdR
gene	STM14_4563
gene	pstA
gene	aph(3')-VI
gene	traI
gene	ssaL
gene	STM3255
gene	STM14_3206
gene	safD
gene	tsaC
gene	STM14_1513
gene	mobB
gene	sdhA
gene	pgm
gene	ddpX
gene	yohO
gene	STM0065
gene	MdtK
gene	ccmF
gene	STM2586
gene	thrV
gene	bcfF
gene	aac-Iva
gene	envF
gene	dfrB6
gene	tdcD
gene	STM2230
gene	STM14_1279
gene	rhaT
gene	yafJ
gene	sthD
gene	ycbB
gene	hisD
gene	gntT
gene	lamB
gene	STM1025
gene	rpsQ
gene	PSLT026
gene	bcfA
gene	rpoD
gene	STM14_3207
gene	pspA
gene	sseK2
gene	yhjR
gene	STM2920
gene	carB
gene	cheW
gene	fucU
gene	STM0922
gene	mcr-3.1
gene	ldcA
gene	STM14_0423
gene	STM0885
gene	rrsD
gene	STM14_4930
gene	STM3026
gene	sdhE
gene	aadD1
gene	blaEC-5
gene	tyrA
gene	repA2
gene	sat4
gene	STM14_5188
gene	mutT
gene	blaOXA
gene	STM1760
gene	argA
gene	mdtG
gene	lysC
gene	der
gene	prgJ
gene	ypfN
gene	sbcB
gene	ygiQ
gene	fepG
gene	STM1252
gene	STM3527
gene	ybjT
gene	ygfB
gene	speF
gene	tilS
gene	pbpE
gene	rsmC
gene	STM2786
gene	STM0409
gene	lpfA
gene	ygbL
gene	ysaB
gene	umpG
gene	entS
gene	blaCTX-M-27
gene	thrB
gene	catP
gene	STM0356
gene	ftnB
gene	fidL
gene	nuoI
gene	STM14_4813
gene	dps
gene	blaTEM-12
gene	SL2642
gene	STM3696
gene	yfeK
gene	ilvG
gene	STM3258
gene	yiaF
gene	blaDHA
gene	STM14_0650
