Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
rtsB	no represses	cpsB	0.1093977529	1	Salm_TF	2	0.1093977529	0.0000000000	[(('rtsB', 'represses', 'cpsB'), ['Salm_TF'], 0.10939775285798525)]
aaeA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('aaeA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
aas	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('aas', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
aceA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('aceA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
acrF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('acrF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
adhE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('adhE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
adk	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('adk', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
amn	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('amn', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
araC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('araC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
araH	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('araH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
argA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('argA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
argD	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('argD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
barA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('barA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
basR	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('basR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
bcsZ	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('bcsZ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
bigA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('bigA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
btuF	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('btuF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cadC	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cadC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
caiB	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('caiB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
caiE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('caiE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
carA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('carA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
casE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('casE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cbiP	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cbiP', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
citE	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('citE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
citT	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('citT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
cmoA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('cmoA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
creA	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('creA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
crl	is mutated by antibiotic	Streptomycin	0.2711398727	1	Salm	2	0.2711398727	0.0000000000	[(('crl', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2711398727378635)]
