Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info	Validation	Match
aas	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('aas', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
aceA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('aceA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
acrF	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('acrF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
adhE	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('adhE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
adk	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('adk', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
amn	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('amn', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
araC	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('araC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
araH	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('araH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
argA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('argA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
argD	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('argD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
barA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('barA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
basR	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('basR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
bigA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('bigA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
btuF	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('btuF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cadC	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cadC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
caiB	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('caiB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
caiE	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('caiE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
carA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('carA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cbiP	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cbiP', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
citE	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('citE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
citT	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('citT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
creA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('creA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
crl	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('crl', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cspA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cspA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cycA	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cycA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cyoB	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cyoB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
cysI	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('cysI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
dacB	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('dacB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
dmsC	is mutated by antibiotic	Streptomycin	0.24963239899999998	1	Salm	2	0.24963239899999998	0.0	[(('dmsC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.2496323989695266)]		
