tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252749	0	live	phoP	STM1231	response regulator in two-component regulatory system with PhoQ				NC_003197.2	1318679	1319365	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252609	0	live	sopB	STM1091	inositol phosphatase				NC_003197.2	1178219	1179912	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253480	0	live	fliC	STM1959	flagellin				NC_003197.2	2047655	2049154	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254405	0	live	sipA	STM2882	pathogenicity island 1 effector protein SipA				NC_003197.2	3024686	3026750	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254447	0	live	rpoS	STM2924	RNA polymerase sigma factor RpoS				NC_003197.2	3065501	3066506	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252909	0	live	ssrB	STM1391	DNA-binding response regulator				NC_003197.2	1476158	1476801	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252748	0	live	phoQ	STM1230	sensor protein PhoQ				NC_003197.2	1317216	1318679	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254408	0	live	sipB	STM2885	pathogenicity island 1 effector protein SipB				NC_003197.2	3029121	3030909	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1255288	0	live	mgtC	STM3764	magnesium transporter MgtC				NC_003197.2	3964500	3965203	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253443	0	live	motB	STM1922	flagellar motor protein MotB				NC_003197.2	2019195	2020132	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254388	0	live	avrA	STM2865	putative inner membrane protein				NC_003197.2	3009905	3010816	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253270	0	live	hns	STM1751	transcriptional regulator				NC_003197.2	1847151	1847690	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254398	0	live	hilD	STM2875	AraC family transcriptional regulator				NC_003197.2	3017838	3018772	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254399	0	live	hilA	STM2876	transcriptional regulator				NC_003197.2	3019846	3021524	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253792	0	live	rcsB	STM2270	DNA-binding response regulator				NC_003197.2	2369978	2370643	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254163	0	live	rpoE	STM2640	RNA polymerase sigma factor RpoE				NC_003197.2	2779431	2780026	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1254340	0	live	luxS	STM2817	S-ribosylhomocysteine lyase				NC_003197.2	2966274	2966800	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252213	0	live	fur	STM0693	ferric iron uptake transcriptional regulator				NC_003197.2	756397	757003	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253149	0	live	sseJ	STM1631	pathogenicity island 2 effector protein SseJ				NC_003197.2	1721280	1722513	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253793	0	live	rcsC	STM2271	two-component system sensor histidine kinase/response regulator				NC_003197.2	2370746	2373608	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1255478	0	live	corA	STM3952	magnesium/cobalt transporter CorA				NC_003197.2	4158073	4159138	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252742	0	live	sifA	STM1224	effector protein SifA				NC_003197.2	1309834	1310844	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1255982	0	live	mgtA	STM4456	magnesium-translocating P-type ATPase				NC_003197.2	4699691	4702414	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252502	0	live	msbA	STM0984	lipid ABC transporter permease/ATP-binding protein				NC_003197.2	1070426	1072186	plus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1252660	0	live	csgD	STM1142	transcriptional regulator CsgD				NC_003197.2	1229717	1230380	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1255007	0	live	dam	STM3484	DNA adenine methylase				NC_003197.2	3638698	3639534	minus	0		
