Subject	Predicate	Object
melB	is homologous to	melB(Salmonella)
ispE	is homologous to	ispE(Salmonella)
livM	is homologous to	livM(Salmonella)
nadC	is homologous to	nadC(Salmonella)
satP	is homologous to	satP(Salmonella)
fepD	is homologous to	fepD(Salmonella)
rnk	is homologous to	rnk(Salmonella)
cspE	is homologous to	cspE(Salmonella)
ybeF	is homologous to	ybeF(Salmonella)
holA	is homologous to	holA(Salmonella)
gltJ	is homologous to	gltJ(Salmonella)
ybeZ	is homologous to	ybeZ(Salmonella)
umpH	is homologous to	umpH(Salmonella)
chiP	is homologous to	chiP(Salmonella)
fur	is homologous to	fur(Salmonella)
dtpD	is homologous to	dtpD(Salmonella)
nhaR	is homologous to	nhaR(Salmonella)
fkpB	is homologous to	fkpB(Salmonella)
tolQ	is homologous to	tolQ(Salmonella)
tolR	is homologous to	tolR(Salmonella)
pal	is homologous to	pal(Salmonella)
modB	is homologous to	modB(Salmonella)
ftsI	is homologous to	ftsI(Salmonella)
ftsW	is homologous to	ftsW(Salmonella)
ftsA	is homologous to	ftsA(Salmonella)
ldtB	is homologous to	ldtB(Salmonella)
iaaA	is homologous to	iaaA(Salmonella)
gsiD	is homologous to	gsiD(Salmonella)
artQ	is homologous to	artQ(Salmonella)
cspD	is homologous to	cspD(Salmonella)
yadS	is homologous to	yadS(Salmonella)
rarA	is homologous to	rarA(Salmonella)
cdsA	is homologous to	cdsA(Salmonella)
proS	is homologous to	proS(Salmonella)
rpsA	is homologous to	rpsA(Salmonella)
ycaR	is homologous to	ycaR(Salmonella)
yccF	is homologous to	yccF(Salmonella)
yccX	is homologous to	yccX(Salmonella)
tusE	is homologous to	tusE(Salmonella)
phoB	is homologous to	phoB(Salmonella)
acpH	is homologous to	acpH(Salmonella)
ycdX	is homologous to	ycdX(Salmonella)
pabC	is homologous to	pabC(Salmonella)
cyoB	is homologous to	cyoB(Salmonella)
bolA	is homologous to	bolA(Salmonella)
ybaV	is homologous to	ybaV(Salmonella)
fadM	is homologous to	fadM(Salmonella)
queC	is homologous to	queC(Salmonella)
decR	is homologous to	decR(Salmonella)
glnK	is homologous to	glnK(Salmonella)
amtB	is homologous to	amtB(Salmonella)
mipA	is homologous to	mipA(Salmonella)
ybaN	is homologous to	ybaN(Salmonella)
allB	is homologous to	allB(Salmonella)
fepG	is homologous to	fepG(Salmonella)
tyrS	is homologous to	tyrS(Salmonella)
mdtJ	is homologous to	mdtJ(Salmonella)
mdtI	is homologous to	mdtI(Salmonella)
adhP	is homologous to	adhP(Salmonella)
ydcZ	is homologous to	ydcZ(Salmonella)
lapB	is homologous to	lapB(Salmonella)
pgpB	is homologous to	pgpB(Salmonella)
yciK	is homologous to	yciK(Salmonella)
ychE	is homologous to	ychE(Salmonella)
tdk	is homologous to	tdk(Salmonella)
rssB	is homologous to	rssB(Salmonella)
ychN	is homologous to	ychN(Salmonella)
ychF	is homologous to	ychF(Salmonella)
ycgM	is homologous to	ycgM(Salmonella)
yoaA	is homologous to	yoaA(Salmonella)
manY	is homologous to	manY(Salmonella)
exoX	is homologous to	exoX(Salmonella)
ftnB	is homologous to	ftnB(Salmonella)
pgsA	is homologous to	pgsA(Salmonella)
yeeY	is homologous to	yeeY(Salmonella)
tyrA	is homologous to	tyrA(Salmonella)
yfjD	is homologous to	yfjD(Salmonella)
grpE	is homologous to	grpE(Salmonella)
bamE	is homologous to	bamE(Salmonella)
ratA	is homologous to	ratA(Salmonella)
mprA	is homologous to	mprA(Salmonella)
yqaB	is homologous to	yqaB(Salmonella)
mltB	is homologous to	mltB(Salmonella)
hypC	is homologous to	hypC(Salmonella)
trhP	is homologous to	trhP(Salmonella)
yegT	is homologous to	yegT(Salmonella)
yohD	is homologous to	yohD(Salmonella)
gcvA	is homologous to	gcvA(Salmonella)
ygdQ	is homologous to	ygdQ(Salmonella)
zapA	is homologous to	zapA(Salmonella)
yggE	is homologous to	yggE(Salmonella)
epd	is homologous to	epd(Salmonella)
loiP	is homologous to	loiP(Salmonella)
napB	is homologous to	napB(Salmonella)
yfaV	is homologous to	yfaV(Salmonella)
ansB	is homologous to	ansB(Salmonella)
gss	is homologous to	gss(Salmonella)
nuoB	is homologous to	nuoB(Salmonella)
nuoA	is homologous to	nuoA(Salmonella)
exbD	is homologous to	exbD(Salmonella)
yfcC	is homologous to	yfcC(Salmonella)
ygiN	is homologous to	ygiN(Salmonella)
nudF	is homologous to	nudF(Salmonella)
ygiC	is homologous to	ygiC(Salmonella)
hldE	is homologous to	hldE(Salmonella)
fabB	is homologous to	fabB(Salmonella)
yfcZ	is homologous to	yfcZ(Salmonella)
mlaA	is homologous to	mlaA(Salmonella)
yhaH	is homologous to	yhaH(Salmonella)
garL	is homologous to	garL(Salmonella)
dolP	is homologous to	dolP(Salmonella)
nudK	is homologous to	nudK(Salmonella)
yfgO	is homologous to	yfgO(Salmonella)
hda	is homologous to	hda(Salmonella)
secG	is homologous to	secG(Salmonella)
glmM	is homologous to	glmM(Salmonella)
rplU	is homologous to	rplU(Salmonella)
fdx	is homologous to	fdx(Salmonella)
iscA	is homologous to	iscA(Salmonella)
iscU	is homologous to	iscU(Salmonella)
lptC	is homologous to	lptC(Salmonella)
tadA	is homologous to	tadA(Salmonella)
grcA	is homologous to	grcA(Salmonella)
yfiF	is homologous to	yfiF(Salmonella)
pssA	is homologous to	pssA(Salmonella)
clpB	is homologous to	clpB(Salmonella)
raiA	is homologous to	raiA(Salmonella)
lptB	is homologous to	lptB(Salmonella)
ptsN	is homologous to	ptsN(Salmonella)
sspB	is homologous to	sspB(Salmonella)
aaeR	is homologous to	aaeR(Salmonella)
tldD	is homologous to	tldD(Salmonella)
rng	is homologous to	rng(Salmonella)
yhdH	is homologous to	yhdH(Salmonella)
yhdJ	is homologous to	yhdJ(Salmonella)
rplQ	is homologous to	rplQ(Salmonella)
rplR	is homologous to	rplR(Salmonella)
rplN	is homologous to	rplN(Salmonella)
prkB	is homologous to	prkB(Salmonella)
gntR	is homologous to	gntR(Salmonella)
yhhN	is homologous to	yhhN(Salmonella)
rlmJ	is homologous to	rlmJ(Salmonella)
mtlA	is homologous to	mtlA(Salmonella)
mtlR	is homologous to	mtlR(Salmonella)
grxC	is homologous to	grxC(Salmonella)
xanP	is homologous to	xanP(Salmonella)
yicJ	is homologous to	yicJ(Salmonella)
rbsK	is homologous to	rbsK(Salmonella)
ilvN	is homologous to	ilvN(Salmonella)
yieE	is homologous to	yieE(Salmonella)
atpH	is homologous to	atpH(Salmonella)
atpB	is homologous to	atpB(Salmonella)
atpD	is homologous to	atpD(Salmonella)
atpA	is homologous to	atpA(Salmonella)
rbsC	is homologous to	rbsC(Salmonella)
tatC	is homologous to	tatC(Salmonella)
yihV	is homologous to	yihV(Salmonella)
fabY	is homologous to	fabY(Salmonella)
cpxA	is homologous to	cpxA(Salmonella)
yiiR	is homologous to	yiiR(Salmonella)
ygfX	is homologous to	ygfX(Salmonella)
oxyR	is homologous to	oxyR(Salmonella)
ubiA	is homologous to	ubiA(Salmonella)
aspA	is homologous to	aspA(Salmonella)
gdx	is homologous to	gdx(Salmonella)
rnr	is homologous to	rnr(Salmonella)
fklB	is homologous to	fklB(Salmonella)
paeA	is homologous to	paeA(Salmonella)
ytfP	is homologous to	ytfP(Salmonella)
hypT	is homologous to	hypT(Salmonella)
mdtM	is homologous to	mdtM(Salmonella)
osmY	is homologous to	osmY(Salmonella)
serB	is homologous to	serB(Salmonella)
creA	is homologous to	creA(Salmonella)
arcA	is homologous to	arcA(Salmonella)
galR	is homologous to	galR(Salmonella)
leuO	is homologous to	leuO(Salmonella)
wzzE	is homologous to	wzzE(Salmonella)
msbA	is homologous to	msbA(Salmonella)
btuD	is homologous to	btuD(Salmonella)
ftsH	is homologous to	ftsH(Salmonella)
cbpA	is homologous to	cbpA(Salmonella)
yjgM	is homologous to	yjgM(Salmonella)
argI	is homologous to	argI(Salmonella)
ydfG	is homologous to	ydfG(Salmonella)
csrA	is homologous to	csrA(Salmonella)
manZ	is homologous to	manZ(Salmonella)
