Source 	Target
Q8ZKA7	fljA
Q8ZL47	fljA
Q8ZLG0	fljB
Q8ZQF0	hin
Q8ZMB6	yfcN
Q8ZKN4	yeaH
H9L428	ybjQ
Q8ZQ17	yhbP
Q8ZS19	ycgL
Q8ZRY2	ygfB
Q8ZLJ7	tsgA
Q8ZKV8	zapD
Q7CPF5	yciC
Q8ZMW7	ycdX
Q8ZRQ3	ynfA
Q8ZMC7	rpsI
Q8ZLK4	recO
Q8ZRD4	rplR
Q8ZR11	rpoZ
Q8ZN59	slyX
Q7CPW4	hisS
Q7CR27	lysS
Q8ZJU9	rsmA
Q8ZP28	tyrS
Q8ZP28	glnS
Q8ZP28	selU
Q8ZP28	selA
Q8ZLE9	cysS
Q7CQZ3	tus
H9L420	uvrC
H9L420	queF
H9L420	pcm
H9L420	pxpA
Q7CPD5	ulaF
Q9L6T2	rplN
Q9L6L8	rlmM
H9L463	rlmC
H9L463	rnhB
H9L463	prfA
H9L463	rhaS
Q9L6R3	rnhA
Q9L9J0	rplM
Q8XF64	rpmH
Q8XF26	rpmG
Q8XF26	glyS
Q8XF26	rplP
Q8XF26	smg
Q9L6S6	smpB
Q9L6Q4	proS
Q8XGY0	tdh
Q9L6P4	uvrB
Q9L6N5	rimK
Q9L9I9	rpmI
Q9L6N4	rlmE
Q9L9I1	tusC
Q8ZLB9	yciZ
H9L444	nuoK
H9L444	mdoC
H9L444	rplX
H9L444	rpsH
Q7CQZ1	yfeO
Q8ZQP3	recA
Q7CQW7	rph
Q8ZMD7	rnpA
Q8ZRH7	ribB
Q8ZRH7	rhaR
Q8ZRH7	rihC
Q8ZRH7	thiI
Q8ZN22	ybjL
Q8ZN22	yciB
Q8ZN22	ymdB
Q8ZN22	rhaT
Q8ZL13	rsd
Q8ZL13	rsmJ
Q8ZL13	rsmC
Q8ZL13	rsmH
Q8ZPW5	rsmF
Q8ZPG9	rraA
Q8ZPG9	rpoB
Q8ZPG9	rpmJ
Q8ZPG9	rpsK
Q8ZP45	rpsT
