Subject	Predicate	Object
aaeA	is homologous to	aaeA(Salmonella)
aaeB	is homologous to	aaeB(Salmonella)
aas	is homologous to	aas(Salmonella)
aat	is homologous to	aat(Salmonella)
abrB	is homologous to	abrB(Salmonella)
accA	is homologous to	accA(Salmonella)
accB	is homologous to	accB(Salmonella)
accC	is homologous to	accC(Salmonella)
accD	is homologous to	accD(Salmonella)
aceA	is homologous to	aceA(Salmonella)
aceB	is homologous to	aceB(Salmonella)
aceE	is homologous to	aceE(Salmonella)
aceF	is homologous to	aceF(Salmonella)
aceK	is homologous to	aceK(Salmonella)
ackA	is homologous to	ackA(Salmonella)
acnA	is homologous to	acnA(Salmonella)
acnB	is homologous to	acnB(Salmonella)
acpH	is homologous to	acpH(Salmonella)
acpP	is homologous to	acpP(Salmonella)
acpT	is homologous to	acpT(Salmonella)
acrB	is homologous to	acrB(Salmonella)
acrD	is homologous to	acrD(Salmonella)
acrE	is homologous to	acrE(Salmonella)
acrF	is homologous to	acrF(Salmonella)
actP	is homologous to	actP(Salmonella)
ada	is homologous to	ada(Salmonella)
add	is homologous to	add(Salmonella)
adhE	is homologous to	adhE(Salmonella)
adhP	is homologous to	adhP(Salmonella)
adiC	is homologous to	adiC(Salmonella)
adiY	is homologous to	adiY(Salmonella)
adk	is homologous to	adk(Salmonella)
aegA	is homologous to	aegA(Salmonella)
aer	is homologous to	aer(Salmonella)
aes	is homologous to	aes(Salmonella)
agp	is homologous to	agp(Salmonella)
ahpC	is homologous to	ahpC(Salmonella)
ahpF	is homologous to	ahpF(Salmonella)
aidB	is homologous to	aidB(Salmonella)
ais	is homologous to	ais(Salmonella)
alaS	is homologous to	alaS(Salmonella)
aldB	is homologous to	aldB(Salmonella)
alkB	is homologous to	alkB(Salmonella)
allA	is homologous to	allA(Salmonella)
allB	is homologous to	allB(Salmonella)
allC	is homologous to	allC(Salmonella)
allD	is homologous to	allD(Salmonella)
allR	is homologous to	allR(Salmonella)
allS	is homologous to	allS(Salmonella)
alr	is homologous to	alr(Salmonella)
alx	is homologous to	alx(Salmonella)
amiA	is homologous to	amiA(Salmonella)
amiB	is homologous to	amiB(Salmonella)
amiC	is homologous to	amiC(Salmonella)
amn	is homologous to	amn(Salmonella)
ampD	is homologous to	ampD(Salmonella)
ampE	is homologous to	ampE(Salmonella)
ampG	is homologous to	ampG(Salmonella)
ampH	is homologous to	ampH(Salmonella)
amtB	is homologous to	amtB(Salmonella)
amyA	is homologous to	amyA(Salmonella)
anmK	is homologous to	anmK(Salmonella)
ansA	is homologous to	ansA(Salmonella)
ansB	is homologous to	ansB(Salmonella)
ansP	is homologous to	ansP(Salmonella)
apaG	is homologous to	apaG(Salmonella)
apaH	is homologous to	apaH(Salmonella)
ftp	is homologous to	ftp(Salmonella)
aphA	is homologous to	aphA(Salmonella)
apt	is homologous to	apt(Salmonella)
araC	is homologous to	araC(Salmonella)
araD	is homologous to	araD(Salmonella)
araE	is homologous to	araE(Salmonella)
araJ	is homologous to	araJ(Salmonella)
arcA	is homologous to	arcA(Salmonella)
arcB	is homologous to	arcB(Salmonella)
ybcF	is homologous to	ybcF(Salmonella)
argA	is homologous to	argA(Salmonella)
argB	is homologous to	argB(Salmonella)
argC	is homologous to	argC(Salmonella)
argD	is homologous to	argD(Salmonella)
argE	is homologous to	argE(Salmonella)
argG	is homologous to	argG(Salmonella)
argH	is homologous to	argH(Salmonella)
argI	is homologous to	argI(Salmonella)
argO	is homologous to	argO(Salmonella)
argP	is homologous to	argP(Salmonella)
argR	is homologous to	argR(Salmonella)
argS	is homologous to	argS(Salmonella)
argT	is homologous to	argT(Salmonella)
arnA	is homologous to	arnA(Salmonella)
arnB	is homologous to	arnB(Salmonella)
arnC	is homologous to	arnC(Salmonella)
arnT	is homologous to	arnT(Salmonella)
aroA	is homologous to	aroA(Salmonella)
aroB	is homologous to	aroB(Salmonella)
aroC	is homologous to	aroC(Salmonella)
aroE	is homologous to	aroE(Salmonella)
aroF	is homologous to	aroF(Salmonella)
aroG	is homologous to	aroG(Salmonella)
aroH	is homologous to	aroH(Salmonella)
aroK	is homologous to	aroK(Salmonella)
aroP	is homologous to	aroP(Salmonella)
artI	is homologous to	artI(Salmonella)
artJ	is homologous to	artJ(Salmonella)
artP	is homologous to	artP(Salmonella)
artQ	is homologous to	artQ(Salmonella)
asd	is homologous to	asd(Salmonella)
asmA	is homologous to	asmA(Salmonella)
asnA	is homologous to	asnA(Salmonella)
asnB	is homologous to	asnB(Salmonella)
asnC	is homologous to	asnC(Salmonella)
asnS	is homologous to	asnS(Salmonella)
aspA	is homologous to	aspA(Salmonella)
aspC	is homologous to	aspC(Salmonella)
aspS	is homologous to	aspS(Salmonella)
astA	is homologous to	astA(Salmonella)
astB	is homologous to	astB(Salmonella)
astC	is homologous to	astC(Salmonella)
astD	is homologous to	astD(Salmonella)
astE	is homologous to	astE(Salmonella)
atpA	is homologous to	atpA(Salmonella)
atpB	is homologous to	atpB(Salmonella)
atpC	is homologous to	atpC(Salmonella)
atpD	is homologous to	atpD(Salmonella)
atpE	is homologous to	atpE(Salmonella)
atpG	is homologous to	atpG(Salmonella)
atpH	is homologous to	atpH(Salmonella)
azoR	is homologous to	azoR(Salmonella)
bacA	is homologous to	bacA(Salmonella)
baeR	is homologous to	baeR(Salmonella)
