,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
1,1,2,thrA,b0002,NP_414543,WP_001264707.1,PCLA_419576,WP_001264681.1,PCLA_419576,NP_459007,thrA,STM0002,MATCH
2,2,3,thrB,b0003,NP_414544,WP_000241662.1,PCLA_414666,WP_000241685.1,PCLA_414666,NP_459008,thrB,STM0003,MATCH
3,4,6,yaaA,b0006,NP_414547,WP_000906197.1,PCLA_415236,WP_000906175.1,PCLA_415236,NP_459010,yaaA,STM0005,MATCH
4,5,7,yaaJ,b0007,NP_414548,WP_001112606.1,PCLA_879538,WP_001113820.1,PCLA_879538,NP_459011,yaaJ,STM0006,MATCH
5,6,9,mog,b0009,NP_414550,WP_001295414.1,PCLA_213225,WP_000380372.1,PCLA_213225,NP_459013,mog,STM0008,MATCH
6,7,10,yaaH,b0010,NP_414551,WP_000528538.1,PCLA_430901,WP_000528527.1,PCLA_430901,NP_459014,yaaH,STM0009,MATCH
8,9,12,yaaI,b0013,NP_414554,WP_000843565.1,PCLA_430435,WP_001258094.1,PCLA_430435,NP_459016,yaaI,STM0011,MATCH
9,10,13,dnaK,b0014,NP_414555,WP_000516135.1,PCLA_123129,WP_000516125.1,PCLA_123129,NP_459017,dnaK,STM0012,MATCH
10,11,14,dnaJ,b0015,NP_414556,WP_001118476.1,PCLA_431005,WP_001119009.1,PCLA_431005,NP_459018,dnaJ,STM0013,MATCH
11,12,18,nhaA,b0019,NP_414560,WP_000681354.1,PCLA_419654,WP_000681340.1,PCLA_419654,NP_459044,nhaA,STM0039,MATCH
12,13,19,nhaR,b0020,NP_414561,WP_000062890.1,PCLA_431274,WP_000062872.1,PCLA_431274,NP_459045,nhaR,STM0040,MATCH
13,14,22,rpsT,b0023,NP_414564,WP_001274021.1,PCLA_414083,WP_001518655.1,PCLA_414083,NP_459048,rpsT,STM0043,MATCH
14,15,23,yaaY,b0024,NP_414565,WP_001300728.1,PCLA_879545,WP_001575565.1,PCLA_879545,NP_459049,yaaY,STM0044,MATCH
15,16,25,ileS,b0026,NP_414567,WP_001286857.1,PCLA_209588,WP_001670710.1,PCLA_209588,NP_459051,ileS,STM0046,MATCH
16,17,26,lspA,b0027,NP_414568,WP_000083372.1,PCLA_123214,WP_000042739.1,PCLA_123214,NP_459052,lspA,STM0047,MATCH
17,18,27,slpA,b0028,NP_414569,WP_000004655.1,PCLA_2846210,WP_000047269.1,PCLA_2846210,NP_459053,slpA,STM0048,MATCH
18,19,28,lytB,b0029,NP_414570,WP_001166395.1,PCLA_414521,WP_001166422.1,PCLA_414521,NP_459054,lytB,STM0049,MATCH
19,20,29,rihC,b0030,NP_414571,WP_001239142.1,PCLA_431006,WP_000127283.1,PCLA_431006,NP_459056,rihC,STM0051,MATCH
20,21,30,dapB,b0031,NP_414572,WP_000543604.1,PCLA_122903,WP_000544031.1,PCLA_122903,NP_459069,dapB,STM0064,MATCH
21,22,31,carA,b0032,NP_414573,WP_000597260.1,PCLA_536457,WP_000597287.1,PCLA_536457,NP_459071,carA,STM0066,MATCH
22,24,37,caiB,b0038,NP_414580,WP_000349936.1,PCLA_415953,WP_001016212.1,PCLA_415953,NP_459077,caiB,STM0072,MATCH
23,25,38,caiA,b0039,NP_414581,WP_000347117.1,PCLA_207326,WP_000347134.1,PCLA_207326,NP_459078,caiA,STM0073,MATCH
24,26,39,caiT,b0040,NP_414582,WP_000787103.1,PCLA_415841,WP_000787073.1,PCLA_415841,NP_459079,caiT,STM0074,MATCH
25,27,41,fixB,b0042,NP_414584,WP_001091499.1,PCLA_4929547,WP_001032189.1,PCLA_4929547,NP_459081,fixB,STM0076,MATCH
26,28,44,yaaU,b0045,NP_414587,WP_001183198.1,PCLA_879551,WP_001737995.1,PCLA_879551,NP_459084,yaaU,STM0079,MATCH
27,29,45,yabF,b0046,NP_414588,WP_000600725.1,PCLA_414408,WP_000600709.1,PCLA_414408,NP_459090,yabF,STM0085,MATCH
28,30,46,kefC,b0047,NP_414589,WP_000377098.1,PCLA_207523,WP_000377155.1,PCLA_207523,NP_459091,kefC,STM0086,MATCH
29,31,47,folA,b0048,NP_414590,WP_000624375.1,PCLA_431007,WP_000624379.1,PCLA_431007,NP_459092,folA,STM0087,MATCH
30,32,48,apaH,b0049,NP_414591,WP_000257192.1,PCLA_123011,WP_000257211.1,PCLA_123011,NP_459093,apaH,STM0088,MATCH
31,33,49,apaG,b0050,NP_414592,WP_000610901.1,PCLA_209331,WP_000610894.1,PCLA_209331,NP_459094,apaG,STM0089,MATCH
32,35,51,pdxA,b0052,NP_414594,WP_000241277.1,PCLA_123072,WP_000093016.1,PCLA_123072,NP_459096,pdxA,STM0091,MATCH
33,36,52,surA,b0053,NP_414595,WP_000800457.1,PCLA_431008,WP_000800482.1,PCLA_431008,NP_459097,surA,STM0092,MATCH
34,37,53,imp,b0054,NP_414596,WP_000746151.1,PCLA_416090,WP_000746127.1,PCLA_416090,NP_459098,imp,STM0093,MATCH
35,38,54,djlA,b0055,NP_414597,WP_001200579.1,PCLA_419572,WP_001200595.1,PCLA_419572,NP_459099,djlA,STM0094,MATCH
36,39,56,rluA,b0058,NP_414600,WP_000525176.1,PCLA_430438,WP_000525196.1,PCLA_430438,NP_459100,rluA,STM0095,MATCH
37,40,57,hepA,b0059,NP_414601,WP_001117011.1,PCLA_208808,WP_001116976.1,PCLA_208808,NP_459101,hepA,STM0096,MATCH
38,41,58,polB,b0060,NP_414602,WP_000035670.1,PCLA_209607,WP_000035723.1,PCLA_209607,NP_459102,polB,STM0097,MATCH
39,44,62,araC,b0064,NP_414606,WP_001300811.1,PCLA_430818,WP_000852387.1,PCLA_430818,NP_459109,araC,STM0104,MATCH
40,45,63,yabI,b0065,NP_414607,WP_001148390.1,PCLA_2944960,WP_001148369.1,PCLA_2944960,NP_459110,yabI,STM0105,MATCH
41,47,65,yabK,b0067,NP_414609,WP_000235721.1,PCLA_213241,WP_000235634.1,PCLA_213241,NP_459112,yabK,STM0107,MATCH
42,49,67,yabN,b0069,NP_414611,WP_001138624.1,PCLA_989451,WP_001139042.1,PCLA_989451,NP_459114,yabN,STM0109,MATCH
43,50,70,leuD,b0071,NP_414613,WP_000818228.1,PCLA_414943,WP_000818267.1,PCLA_414943,NP_459115,leuD,STM0110,MATCH
44,51,73,leuA,b0074,NP_414616,WP_000082850.1,PCLA_3252981,WP_000082819.1,PCLA_3252981,NP_459118,leuA,STM0113,MATCH
45,52,77,ilvH,b0078,NP_414620,WP_001300383.1,PCLA_432362,WP_001563086.1,PCLA_432362,NP_459122,ilvH,STM0117,MATCH
46,53,78,fruR,b0080,NP_414622,WP_000762401.1,PCLA_431448,WP_000762406.1,PCLA_431448,NP_459123,fruR,STM0118,MATCH
47,54,79,yabB,b0081,NP_414623,WP_001295533.1,PCLA_123164,WP_000488294.1,PCLA_123164,NP_459124,yabB,STM0119,MATCH
48,55,80,yabC,b0082,NP_414624,WP_000970479.1,PCLA_2998554,WP_000970444.1,PCLA_2998554,NP_459125,yabC,STM0120,MATCH
49,56,81,ftsL,b0083,NP_414625,WP_000625658.1,PCLA_431010,WP_000625651.1,PCLA_431010,NP_459126,ftsL,STM0121,MATCH
50,57,82,ftsI,b0084,NP_414626,WP_000642196.1,PCLA_2846220,WP_000642235.1,PCLA_2846220,NP_459127,ftsI,STM0122,MATCH
51,58,83,murE,b0085,NP_414627,WP_000775093.1,PCLA_414036,WP_000775073.1,PCLA_414036,NP_459128,murE,STM0123,MATCH
52,59,84,murF,b0086,NP_414628,WP_000626685.1,PCLA_431011,WP_000626630.1,PCLA_431011,NP_459129,murF,STM0124,MATCH
53,60,85,mraY,b0087,NP_414629,WP_000964131.1,PCLA_429520,WP_000964141.1,PCLA_429520,NP_459130,mraY,STM0125,MATCH
54,61,86,murD,b0088,NP_414630,WP_000796481.1,PCLA_501293,WP_000796445.1,PCLA_501293,NP_459131,murD,STM0126,MATCH
55,62,87,ftsW,b0089,NP_414631,WP_001295532.1,PCLA_5689456,WP_001239803.1,PCLA_5689456,NP_459132,ftsW,STM0127,MATCH
56,63,88,murG,b0090,NP_414632,WP_000016560.1,PCLA_414318,WP_000016613.1,PCLA_414318,NP_459133,murG,STM0128,MATCH
57,64,89,murC,b0091,NP_414633,WP_001096049.1,PCLA_4969976,WP_001096070.1,PCLA_4969976,NP_459134,murC,STM0129,MATCH
58,65,90,ddlB,b0092,NP_414634,WP_000130056.1,PCLA_414746,WP_000763905.1,PCLA_414746,NP_459135,ddlB,STM0130,MATCH
59,66,91,ftsQ,b0093,NP_414635,WP_000075748.1,PCLA_431013,WP_000075728.1,PCLA_431013,NP_459136,ftsQ,STM0131,MATCH
60,67,92,ftsA,b0094,NP_414636,WP_000588474.1,PCLA_213276,WP_000588463.1,PCLA_213276,NP_459137,ftsA,STM0132,MATCH
61,68,93,ftsZ,b0095,NP_414637,WP_000462776.1,PCLA_213150,WP_000462785.1,PCLA_213150,NP_459138,ftsZ,STM0133,MATCH
62,69,94,lpxC,b0096,NP_414638,WP_000595482.1,PCLA_858314,WP_000595487.1,PCLA_858314,NP_459139,lpxC,STM0134,MATCH
63,70,96,secA,b0098,NP_414640,WP_000905789.1,PCLA_703090,WP_000905756.1,PCLA_703090,NP_459141,secA,STM0136,MATCH
64,71,97,mutT,b0099,NP_414641,WP_000736007.1,PCLA_431014,WP_000736056.1,PCLA_431014,NP_459142,mutT,STM0137,MATCH
65,73,99,yacF,b0102,NP_414644,WP_001194734.1,PCLA_417093,WP_000557441.1,PCLA_417093,NP_459144,yacF,STM0139,MATCH
66,75,101,guaC,b0104,NP_414646,WP_001217338.1,PCLA_417030,WP_001217365.1,PCLA_417030,NP_459146,guaC,STM0141,MATCH
67,77,103,hofB,b0107,NP_414649,WP_001025145.1,PCLA_430697,WP_000650591.1,PCLA_430697,NP_459148,hofB,STM0143,MATCH
68,79,105,nadC,b0109,NP_414651,WP_001135174.1,PCLA_419424,WP_001135135.1,PCLA_419424,NP_459150,nadC,STM0145,MATCH
69,80,106,ampD,b0110,NP_414652,WP_000923721.1,PCLA_431826,WP_000936330.1,PCLA_431826,NP_459151,ampD,STM0146,MATCH
70,81,107,ampE,b0111,NP_414653,WP_000172005.1,PCLA_431209,WP_000172039.1,PCLA_431209,NP_459152,ampE,STM0147,MATCH
71,82,108,aroP,b0112,NP_414654,WP_000969915.1,PCLA_572512,WP_000969487.1,PCLA_572512,NP_459155,aroP,STM0150,MATCH
72,83,109,pdhR,b0113,NP_414655,WP_000331776.1,PCLA_213268,WP_000331771.1,PCLA_213268,NP_459156,pdhR,STM0151,MATCH
73,84,110,aceE,b0114,NP_414656,WP_000003820.1,PCLA_213213,WP_000003852.1,PCLA_213213,NP_459157,aceE,STM0152,MATCH
74,85,111,aceF,b0115,NP_414657,WP_000963518.1,PCLA_431853,WP_000963612.1,PCLA_431853,NP_459158,aceF,STM0153,MATCH
75,86,112,lpdA,b0116,NP_414658,WP_000102485.1,PCLA_210310,WP_001519338.1,PCLA_210310,NP_459159,lpdA,STM0154,MATCH
76,87,114,acnB,b0118,NP_414660,WP_001307570.1,PCLA_213065,WP_000888962.1,PCLA_213065,NP_459163,acnB,STM0158,MATCH
77,88,116,speD,b0120,NP_414662,WP_000734287.1,PCLA_209332,WP_000734276.1,PCLA_209332,NP_459170,speD,STM0165,MATCH
78,89,117,speE,b0121,NP_414663,WP_000818411.1,PCLA_3185991,WP_000829968.1,PCLA_3185991,NP_459171,speE,STM0166,MATCH
79,90,119,cueO,b0123,NP_414665,WP_001189647.1,PCLA_431191,WP_000946047.1,PCLA_431191,NP_459173,cueO,STM0168,MATCH
80,91,120,gcd,b0124,NP_414666,WP_001306211.1,PCLA_2944720,WP_000829731.1,PCLA_2944720,NP_459174,gcd,STM0169,MATCH
81,92,122,yadF,b0126,NP_414668,WP_000651599.1,PCLA_430698,WP_000651591.1,PCLA_430698,NP_459176,yadF,STM0171,MATCH
82,93,123,yadG,b0127,NP_414669,WP_000150637.1,PCLA_879561,WP_000150619.1,PCLA_879561,NP_459177,yadG,STM0172,MATCH
83,94,124,yadH,b0128,NP_414670,WP_000972203.1,PCLA_2846181,WP_000983418.1,PCLA_2846181,NP_459178,yadH,STM0173,MATCH
84,95,125,yadI,b0129,NP_414671,WP_000901987.1,PCLA_879563,WP_000901960.1,PCLA_879563,NP_459183,yadI,STM0178,MATCH
85,97,127,panD,b0131,NP_414673,WP_000621515.1,PCLA_3370032,WP_000621526.1,PCLA_3370032,NP_459185,panD,STM0180,MATCH
87,99,129,panC,b0133,NP_414675,WP_000905383.1,PCLA_123218,WP_000905344.1,PCLA_123218,NP_459186,panC,STM0181,MATCH
88,100,130,panB,b0134,NP_414676,WP_000805497.1,PCLA_123149,WP_000805487.1,PCLA_123149,NP_459187,panB,STM0182,MATCH
89,102,141,dksA,b0145,NP_414687,WP_001155227.1,PCLA_431016,WP_001155232.1,PCLA_431016,NP_459191,dksA,STM0186,MATCH
90,103,142,sfsA,b0146,NP_414688,WP_000396036.1,PCLA_3128994,WP_000899412.1,PCLA_3128994,NP_459192,sfsA,STM0187,MATCH
91,104,145,mrcB,b0149,NP_414691,WP_000918162.1,PCLA_419619,WP_000918127.1,PCLA_419619,NP_459195,mrcB,STM0190,MATCH
92,105,146,fhuA,b0150,NP_414692,WP_000124438.1,PCLA_430333,WP_000113220.1,PCLA_430333,NP_459196,fhuA,STM0191,MATCH
93,106,147,fhuC,b0151,NP_414693,WP_001158931.1,PCLA_430821,WP_001157204.1,PCLA_430821,NP_459197,fhuC,STM0192,MATCH
94,107,148,fhuD,b0152,NP_414694,WP_001310529.1,PCLA_430822,WP_001205357.1,PCLA_430822,NP_459198,fhuD,STM0193,MATCH
95,108,150,hemL,b0154,NP_414696,WP_000045315.1,PCLA_413972,WP_000045268.1,PCLA_413972,NP_459207,hemL,STM0202,MATCH
96,109,153,yadS,b0157,NP_414699,WP_000964221.1,PCLA_430824,WP_000964234.1,PCLA_430824,NP_459210,yadS,STM0205,MATCH
97,110,154,btuF,b0158,NP_414700,WP_001129927.1,PCLA_207351,WP_001118843.1,PCLA_207351,NP_459211,btuF,STM0206,MATCH
98,112,157,htrA,b0161,NP_414703,WP_000753946.1,PCLA_431172,WP_000753958.1,PCLA_431172,NP_459214,htrA,STM0209,MATCH
99,113,159,yaeH,b0163,NP_414705,WP_000272188.1,PCLA_989500,WP_000272193.1,PCLA_989500,NP_459216,yaeH,STM0211,MATCH
100,114,161,dapD,b0166,NP_414708,WP_001186650.1,PCLA_431843,WP_001186673.1,PCLA_431843,NP_459218,dapD,STM0213,MATCH
101,115,162,glnD,b0167,NP_414709,WP_001094586.1,PCLA_208898,WP_001094519.1,PCLA_208898,NP_459219,glnD,STM0214,MATCH
102,116,163,map,b0168,NP_414710,WP_001018194.1,PCLA_209561,WP_001018214.1,PCLA_209561,NP_459220,map,STM0215,MATCH
103,117,164,rpsB,b0169,NP_414711,WP_000246882.1,PCLA_209175,WP_000246886.1,PCLA_209175,NP_459221,rpsB,STM0216,MATCH
104,119,166,pyrH,b0171,NP_414713,WP_000224573.1,PCLA_2809315,WP_000224567.1,PCLA_2809315,NP_459223,pyrH,STM0218,MATCH
105,120,167,frr,b0172,NP_414714,WP_000622418.1,PCLA_413989,WP_000622423.1,PCLA_413989,NP_459224,frr,STM0219,MATCH
106,121,168,dxr,b0173,NP_414715,WP_000811923.1,PCLA_2944736,WP_000811905.1,PCLA_2944736,NP_459225,dxr,STM0220,MATCH
107,122,169,uppS,b0174,NP_414716,WP_000979579.1,PCLA_430515,WP_000947413.1,PCLA_430515,NP_459226,uppS,STM0221,MATCH
108,123,171,yaeL,b0176,NP_414718,WP_001295561.1,PCLA_431017,WP_000949017.1,PCLA_431017,NP_459228,yaeL,STM0223,MATCH
109,124,172,yaeT,b0177,NP_414719,WP_001240896.1,PCLA_431279,WP_001240935.1,PCLA_431279,NP_459229,yaeT,STM0224,MATCH
110,125,173,hlpA,b0178,NP_414720,WP_000758956.1,PCLA_431018,WP_000758966.1,PCLA_431018,NP_459230,hlpA,STM0225,MATCH
111,126,174,lpxD,b0179,NP_414721,WP_001139279.1,PCLA_414420,WP_001139265.1,PCLA_414420,NP_459231,lpxD,STM0226,MATCH
112,127,175,fabZ,b0180,NP_414722,WP_000210739.1,PCLA_2812865,WP_000210741.1,PCLA_2812865,NP_459232,fabZ,STM0227,MATCH
113,128,176,lpxA,b0181,NP_414723,WP_000565966.1,PCLA_209165,WP_000565950.1,PCLA_209165,NP_459233,lpxA,STM0228,MATCH
114,129,177,lpxB,b0182,NP_414724,WP_000139654.1,PCLA_413938,WP_000741212.1,PCLA_413938,NP_459234,lpxB,STM0229,MATCH
115,130,178,rnhB,b0183,NP_414725,WP_000569430.1,PCLA_413928,WP_000569412.1,PCLA_413928,NP_459235,rnhB,STM0230,MATCH
