Subject	Predicate	Object
rstA	is homologous to	rstA(Salmonella)
abrB	is homologous to	abrB(Salmonella)
aceA	is homologous to	aceA(Salmonella)
aceB	is homologous to	aceB(Salmonella)
actP	is homologous to	actP(Salmonella)
adhP	is homologous to	adhP(Salmonella)
adiY	is homologous to	adiY(Salmonella)
aer	is homologous to	aer(Salmonella)
ansB	is homologous to	ansB(Salmonella)
argS	is homologous to	argS(Salmonella)
argT	is homologous to	argT(Salmonella)
arnT	is homologous to	arnT(Salmonella)
aroG	is homologous to	aroG(Salmonella)
asnS	is homologous to	asnS(Salmonella)
astA	is homologous to	astA(Salmonella)
astB	is homologous to	astB(Salmonella)
astD	is homologous to	astD(Salmonella)
astE	is homologous to	astE(Salmonella)
atpA	is homologous to	atpA(Salmonella)
atpC	is homologous to	atpC(Salmonella)
atpD	is homologous to	atpD(Salmonella)
atpG	is homologous to	atpG(Salmonella)
bioA	is homologous to	bioA(Salmonella)
bioB	is homologous to	bioB(Salmonella)
bisC	is homologous to	bisC(Salmonella)
bssR	is homologous to	bssR(Salmonella)
bssS	is homologous to	bssS(Salmonella)
chbA	is homologous to	chbA(Salmonella)
cheA	is homologous to	cheA(Salmonella)
cheB	is homologous to	cheB(Salmonella)
cheW	is homologous to	cheW(Salmonella)
cheZ	is homologous to	cheZ(Salmonella)
citT	is homologous to	citT(Salmonella)
csgB	is homologous to	csgB(Salmonella)
csgD	is homologous to	csgD(Salmonella)
csgE	is homologous to	csgE(Salmonella)
csgF	is homologous to	csgF(Salmonella)
csiE	is homologous to	csiE(Salmonella)
dadA	is homologous to	dadA(Salmonella)
dadX	is homologous to	dadX(Salmonella)
dgoT	is homologous to	dgoT(Salmonella)
dnaN	is homologous to	dnaN(Salmonella)
dppB	is homologous to	dppB(Salmonella)
eco	is homologous to	eco(Salmonella)
eno	is homologous to	eno(Salmonella)
envZ	is homologous to	envZ(Salmonella)
eutB	is homologous to	eutB(Salmonella)
eutC	is homologous to	eutC(Salmonella)
eutE	is homologous to	eutE(Salmonella)
eutG	is homologous to	eutG(Salmonella)
eutH	is homologous to	eutH(Salmonella)
eutM	is homologous to	eutM(Salmonella)
eutQ	is homologous to	eutQ(Salmonella)
eutR	is homologous to	eutR(Salmonella)
eutS	is homologous to	eutS(Salmonella)
eutT	is homologous to	eutT(Salmonella)
fadA	is homologous to	fadA(Salmonella)
fadB	is homologous to	fadB(Salmonella)
fadE	is homologous to	fadE(Salmonella)
fadH	is homologous to	fadH(Salmonella)
fdx	is homologous to	fdx(Salmonella)
fepE	is homologous to	fepE(Salmonella)
fepG	is homologous to	fepG(Salmonella)
fimA	is homologous to	fimA(Salmonella)
fimD	is homologous to	fimD(Salmonella)
sfmH	is homologous to	sfmH(Salmonella)
fixC	is homologous to	fixC(Salmonella)
flgC	is homologous to	flgC(Salmonella)
flgD	is homologous to	flgD(Salmonella)
flgE	is homologous to	flgE(Salmonella)
flgF	is homologous to	flgF(Salmonella)
flgG	is homologous to	flgG(Salmonella)
flgH	is homologous to	flgH(Salmonella)
flgI	is homologous to	flgI(Salmonella)
flgJ	is homologous to	flgJ(Salmonella)
flgK	is homologous to	flgK(Salmonella)
flgL	is homologous to	flgL(Salmonella)
flgN	is homologous to	flgN(Salmonella)
flhB	is homologous to	flhB(Salmonella)
flhC	is homologous to	flhC(Salmonella)
fliA	is homologous to	fliA(Salmonella)
fliC	is homologous to	fliC(Salmonella)
fliG	is homologous to	fliG(Salmonella)
fliH	is homologous to	fliH(Salmonella)
fliI	is homologous to	fliI(Salmonella)
fliJ	is homologous to	fliJ(Salmonella)
fliL	is homologous to	fliL(Salmonella)
fliM	is homologous to	fliM(Salmonella)
fliO	is homologous to	fliO(Salmonella)
fliQ	is homologous to	fliQ(Salmonella)
fliR	is homologous to	fliR(Salmonella)
fliS	is homologous to	fliS(Salmonella)
fliZ	is homologous to	fliZ(Salmonella)
frr	is homologous to	frr(Salmonella)
fruA	is homologous to	fruA(Salmonella)
fruB	is homologous to	fruB(Salmonella)
fsr	is homologous to	fsr(Salmonella)
ftnB	is homologous to	ftnB(Salmonella)
fucK	is homologous to	fucK(Salmonella)
fumC	is homologous to	fumC(Salmonella)
fusA	is homologous to	fusA(Salmonella)
gabD	is homologous to	gabD(Salmonella)
gabT	is homologous to	gabT(Salmonella)
hyi	is homologous to	hyi(Salmonella)
glnK	is homologous to	glnK(Salmonella)
glpA	is homologous to	glpA(Salmonella)
glpB	is homologous to	glpB(Salmonella)
glpC	is homologous to	glpC(Salmonella)
glpK	is homologous to	glpK(Salmonella)
glpQ	is homologous to	glpQ(Salmonella)
gltI	is homologous to	gltI(Salmonella)
gltJ	is homologous to	gltJ(Salmonella)
gltL	is homologous to	gltL(Salmonella)
gltS	is homologous to	gltS(Salmonella)
glxR	is homologous to	glxR(Salmonella)
hemA	is homologous to	hemA(Salmonella)
guaC	is homologous to	guaC(Salmonella)
hns	is homologous to	hns(Salmonella)
hscA	is homologous to	hscA(Salmonella)
hscB	is homologous to	hscB(Salmonella)
hycD	is homologous to	hycD(Salmonella)
hycE	is homologous to	hycE(Salmonella)
hycG	is homologous to	hycG(Salmonella)
infB	is homologous to	infB(Salmonella)
kdpA	is homologous to	kdpA(Salmonella)
kdpB	is homologous to	kdpB(Salmonella)
ldcC	is homologous to	ldcC(Salmonella)
leuO	is homologous to	leuO(Salmonella)
lldD	is homologous to	lldD(Salmonella)
lldP	is homologous to	lldP(Salmonella)
lldR	is homologous to	lldR(Salmonella)
lolD	is homologous to	lolD(Salmonella)
lysA	is homologous to	lysA(Salmonella)
lysC	is homologous to	lysC(Salmonella)
malE	is homologous to	malE(Salmonella)
malF	is homologous to	malF(Salmonella)
malK	is homologous to	malK(Salmonella)
cpsB	is homologous to	cpsB(Salmonella)
marA	is homologous to	marA(Salmonella)
marR	is homologous to	marR(Salmonella)
mazG	is homologous to	mazG(Salmonella)
metA	is homologous to	metA(Salmonella)
metB	is homologous to	metB(Salmonella)
metF	is homologous to	metF(Salmonella)
metR	is homologous to	metR(Salmonella)
mglA	is homologous to	mglA(Salmonella)
mglC	is homologous to	mglC(Salmonella)
motB	is homologous to	motB(Salmonella)
